Year,2022,2021
"Selling, General & Admin",5.3,0.97
Other Operating Expenses,0.08,0.2
Operating Expenses,5.38,1.17
Operating Income,-5.38,-1.17
Interest Expense / Income,0.04,0
Other Expense / Income,-16.08,-3.71
Pretax Income,10.66,2.54
Income Tax,0.95,0
Net Income,9.71,2.54
Net Income Growth,281.65%,-
Shares Outstanding (Basic),43,39
Shares Outstanding (Diluted),43,39
Shares Change,10.79%,-
EPS (Basic),0.23,0.07
EPS (Diluted),0.23,0.07
EPS Growth,228.57%,-
Free Cash Flow Per Share,-0.02,-0.04
Effective Tax Rate,8.94%,-
EBITDA,10.71,2.54
EBIT,10.71,2.54
