Year,2022,2021,2020
"Selling, General & Admin",1.25,2.56,0
Operating Expenses,1.25,2.56,0
Operating Income,-1.25,-2.56,-0
Other Expense / Income,-9.03,-7.14,-
Pretax Income,7.78,4.59,-0
Income Tax,0.38,0,0
Net Income,7.4,4.59,-0
Net Income Growth,61.23%,-,-
Shares Outstanding (Basic),19,18,3
Shares Outstanding (Diluted),19,18,3
Shares Change,4.58%,449.79%,-
EPS (Basic),0.40,0.26,-
EPS (Diluted),0.40,0.26,-
EPS Growth,53.85%,-,-
Free Cash Flow Per Share,-0.08,-0.12,-
Effective Tax Rate,4.93%,-,-
EBITDA,7.78,4.59,-0
EBIT,7.78,4.59,-0
