Year,2022,2021,2020
"Selling, General & Admin",1.97,1.71,0.14
Operating Expenses,1.97,1.71,0.14
Operating Income,-1.97,-1.71,-0.14
Other Expense / Income,-19.65,-7.26,0.99
Pretax Income,17.69,5.55,-1.13
Net Income,17.69,5.55,-1.13
Net Income Growth,218.59%,-,-
Shares Outstanding (Basic),49,50,17
Shares Outstanding (Diluted),49,50,17
Shares Change,-2.34%,189.84%,-
EPS (Basic),0.36,0.11,-0.07
EPS (Diluted),0.36,0.11,-0.07
EPS Growth,227.27%,-,-
Free Cash Flow Per Share,-0.01,-0.03,-0.05
EBITDA,17.69,5.55,-1.13
EBIT,17.69,5.55,-1.13
