Year,2022,2021
"Selling, General & Admin",1.29,0.18
Other Operating Expenses,0.28,0.11
Operating Expenses,1.57,0.3
Operating Income,-1.57,-0.3
Other Expense / Income,-3.41,-3.04
Pretax Income,1.84,2.74
Income Tax,0.22,0
Net Income,1.62,2.74
Net Income Growth,-40.73%,-
Shares Outstanding (Basic),12,5
Shares Outstanding (Diluted),12,5
Shares Change,147.76%,-
EPS (Basic),0.13,0.55
EPS (Diluted),0.13,0.55
EPS Growth,-76.36%,-
Free Cash Flow Per Share,-0.05,-0.10
Effective Tax Rate,11.75%,-
EBITDA,1.84,2.74
EBIT,1.84,2.74
