Year,2022,2021,2020
"Selling, General & Admin",2.32,1.72,0.34
Operating Expenses,2.32,1.72,0.34
Operating Income,-2.32,-1.72,-0.34
Other Expense / Income,-6.11,-10.43,2.19
Pretax Income,3.79,8.7,-2.54
Income Tax,0,0,0
Net Income,3.79,8.7,-2.54
Net Income Growth,-56.48%,-,-
Shares Outstanding (Basic),9,15,5
Shares Outstanding (Diluted),9,15,5
Shares Change,-36.48%,214.63%,-
EPS (Basic),0.41,0.59,-0.55
EPS (Diluted),0.41,0.59,-0.55
EPS Growth,-30.51%,-,-
Free Cash Flow Per Share,-0.33,-0.05,-0.06
Effective Tax Rate,0.06%,-,-
EBITDA,3.79,8.7,-2.54
EBIT,3.79,8.7,-2.54
