Year,2022,2021
"Selling, General & Admin",5.1,0.42
Other Operating Expenses,0.21,0.16
Operating Expenses,5.31,0.59
Operating Income,-5.31,-0.59
Other Expense / Income,-5.86,-5.72
Pretax Income,0.55,5.14
Income Tax,0.21,0
Net Income,0.34,5.14
Net Income Growth,-93.44%,-
Shares Outstanding (Basic),12,12
Shares Outstanding (Diluted),12,12
Shares Change,4.95%,-
EPS (Basic),0.03,0.44
EPS (Diluted),0.03,0.44
EPS Growth,-93.18%,-
Free Cash Flow Per Share,-0.08,-0.03
Effective Tax Rate,38.96%,-
EBITDA,0.55,5.14
EBIT,0.55,5.14
