Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,1.73,0.9,1.26,2.39,3.39,4.39,4.9,6.96,7.65,6.9
Revenue Growth (YoY),92.89%,-28.86%,-47.03%,-29.62%,-22.82%,-10.36%,-29.61%,-9.00%,10.93%,-
Cost of Revenue,1.03,0,0,0,0,0,0,0,0,0
Gross Profit,0.7,0.9,1.26,2.39,3.39,4.39,4.9,6.96,7.65,6.9
"Selling, General & Admin",0.75,0.55,0.58,0.89,0.97,1.37,1.64,1.03,1.01,0.59
Research & Development,0,0,0,0,0,0,0,0,0,0.01
Other Operating Expenses,24.67,8.78,4.74,4.47,2.83,6.49,6.34,3.29,3.11,3.23
Operating Expenses,25.41,9.33,5.32,5.37,3.8,7.86,7.99,4.32,4.12,3.83
Operating Income,-24.71,-8.43,-4.05,-2.98,-0.41,-3.47,-3.09,2.64,3.53,3.07
Interest Expense / Income,0,0,0.01,0.1,0.46,0.61,0.59,0.92,0.99,1.21
Other Expense / Income,3.08,-13.52,-0.02,-0.08,-0.41,1.11,-,1.89,2.55,0.12
Pretax Income,-27.8,5.09,-4.04,-3,-0.47,-5.2,-3.68,-0.17,0,1.73
Income Tax,1.44,0.33,0,0,0,3.43,-1.31,-0.15,0,0
Net Income,-29.24,4.76,-4.04,-3,-0.47,-8.63,-2.37,-0.02,0,1.73
Shares Outstanding (Basic),13,7,2,1,0,0,0,0,0,-
Shares Outstanding (Diluted),13,8,2,1,0,0,0,0,-,-
Shares Change,65.05%,388.46%,158.95%,214.40%,196.64%,1.82%,-,-,-,-
EPS (Basic),-2.23,0.70,-2.49,-4.80,-2.35,-128.40,-36.00,-0.50,-,-
EPS (Diluted),-2.23,0.60,-2.49,-4.80,-2.35,-128.40,-36.00,-0.50,-,-
Free Cash Flow Per Share,-1.82,-1.95,-2.17,-1.87,-3.80,-27.07,-54.86,33.43,34.49,-
Gross Margin,40.41%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-1425.30%,-938.03%,-320.67%,-125.06%,-12.17%,-79.05%,-63.00%,37.96%,46.17%,44.52%
Profit Margin,-1686.33%,529.42%,-319.84%,-125.96%,-13.93%,-196.43%,-48.38%,-0.29%,-,25.11%
Free Cash Flow Margin,-1372.65%,-1479.34%,-278.93%,-49.03%,-22.37%,-41.42%,-73.89%,31.70%,29.76%,27.18%
Effective Tax Rate,-,6.41%,-,-,-,-,-,-,-,-
EBITDA,-27.22,5.19,-3.92,-2.79,0.06,-4.49,-3.09,0.75,0.99,2.94
EBITDA Margin,-1570.09%,577.14%,-310.50%,-116.80%,1.80%,-102.14%,-63.00%,10.79%,12.88%,42.70%
Depreciation & Amortization,0.57,0.1,0.11,0.12,0.07,0.1,0,0,0,0
EBIT,-27.8,5.09,-4.03,-2.9,-0.01,-4.58,-3.09,0.75,0.99,2.94
EBIT Margin,-1603.14%,565.78%,-319.27%,-121.65%,-0.22%,-104.32%,-63.00%,10.79%,12.88%,42.70%
