Year,2022,2021
"Selling, General & Admin",4.49,2.03
Other Operating Expenses,0.2,0.2
Operating Expenses,4.69,2.23
Operating Income,-4.69,-2.23
Other Expense / Income,-39.22,-7.99
Pretax Income,34.54,5.76
Income Tax,2.17,0
Net Income,32.37,5.76
Net Income Growth,461.74%,-
Shares Outstanding (Basic),103,98
Shares Outstanding (Diluted),103,99
Shares Change,4.21%,-
EPS (Basic),0.32,0.06
EPS (Diluted),0.32,0.06
EPS Growth,433.33%,-
Free Cash Flow Per Share,-0.03,-0.02
Effective Tax Rate,6.27%,-
EBITDA,34.54,5.76
EBIT,34.54,5.76
