Year,2022,2021,2020
"Selling, General & Admin",3.1,4.42,0.06
Operating Expenses,3.1,4.42,0.06
Operating Income,-3.1,-4.42,-0.06
Other Expense / Income,-37.94,-14.18,-
Pretax Income,34.84,9.76,-0.06
Net Income,34.84,9.76,-0.06
Net Income Growth,256.85%,-,-
Shares Outstanding (Basic),86,84,15
Shares Outstanding (Diluted),86,84,15
Shares Change,3.17%,457.36%,-
EPS (Basic),0.40,0.12,-
EPS (Diluted),0.40,0.12,-
EPS Growth,233.33%,-,-
Free Cash Flow Per Share,-0.02,-0.02,-
EBITDA,34.84,9.76,-0.06
EBIT,34.84,9.76,-0.06
