Year,2022,2021
"Selling, General & Admin",1.45,0.31
Other Operating Expenses,0.28,0.12
Operating Expenses,1.74,0.44
Operating Income,-1.74,-0.44
Other Expense / Income,-10.71,-4.25
Pretax Income,8.97,3.81
Income Tax,0.76,0
Net Income,8.21,3.81
Net Income Growth,115.29%,-
Shares Outstanding (Basic),26,10
Shares Outstanding (Diluted),26,10
Shares Change,173.60%,-
EPS (Basic),0.32,0.40
EPS (Diluted),0.32,0.40
EPS Growth,-20.00%,-
Free Cash Flow Per Share,-0.07,-0.07
Effective Tax Rate,8.45%,-
EBITDA,8.97,3.81
EBIT,8.97,3.81
