Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,305.5,416.33,308.4,266.29,270.65,232.39,239.39,210.08,200.93,185.91,Upgrade
Revenue Growth (YoY),-26.62%,34.99%,15.81%,-1.61%,16.46%,-2.92%,13.95%,4.56%,8.08%,162.56%,Upgrade
Gross Profit,305.5,416.33,308.4,266.29,270.65,232.39,239.39,210.08,200.93,185.91,Upgrade
Operating Income,305.5,416.33,308.4,266.29,270.65,232.39,239.39,210.08,200.93,185.91,Upgrade
Pretax Income,305.5,416.33,308.4,266.29,270.65,232.39,239.39,210.08,200.93,185.91,Upgrade
Income Tax,31.34,30.48,29.02,27.73,28.25,24.97,22.8,24.32,22.46,20.41,Upgrade
Net Income,274.17,385.84,279.38,238.56,242.4,207.42,216.59,185.76,178.47,165.5,Upgrade
Net Income Growth,-28.94%,38.11%,17.11%,-1.58%,16.86%,-4.23%,16.59%,4.09%,7.83%,223.97%,Upgrade
Shares Outstanding (Basic),100,99,96,96,96,94,95,98,97,92,Upgrade
Shares Change,1.67%,2.68%,0.19%,-0.40%,2.93%,-1.26%,-3.02%,0.63%,5.53%,-12.46%,Upgrade
EPS (Basic),2.69,3.88,2.88,2.49,2.50,2.19,2.24,1.87,1.84,1.72,Upgrade
EPS (Diluted),2.69,3.88,2.88,2.49,2.50,2.19,2.23,1.86,1.84,1.71,Upgrade
EPS Growth,-30.67%,34.72%,15.66%,-0.40%,14.16%,-1.79%,19.89%,1.09%,7.60%,235.29%,Upgrade
Free Cash Flow Per Share,3.61,3.60,2.81,2.32,2.90,2.16,1.79,1.97,1.86,1.69,Upgrade
Dividend Per Share,3.540,3.580,2.790,2.320,2.880,2.130,1.750,1.930,1.890,1.590,Upgrade
Dividend Growth,-1.12%,28.32%,20.26%,-19.44%,35.21%,21.71%,-9.33%,2.12%,18.87%,67.37%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Profit Margin,89.74%,92.68%,90.59%,89.59%,89.56%,89.25%,90.47%,88.42%,88.82%,89.02%,Upgrade
Free Cash Flow Margin,118.69%,85.30%,87.55%,83.65%,103.19%,87.10%,70.82%,91.77%,90.04%,83.62%,Upgrade
Effective Tax Rate,10.26%,7.32%,9.41%,10.41%,10.44%,10.75%,9.53%,11.58%,11.18%,10.98%,Upgrade
EBITDA,305.5,416.33,308.4,266.29,270.65,232.39,239.39,210.08,200.93,185.91,Upgrade
EBITDA Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
EBIT,305.5,416.33,308.4,266.29,270.65,232.39,239.39,210.08,200.93,185.91,Upgrade
EBIT Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
