Year,2022,2021,2020
"Selling, General & Admin",1.09,1.07,0
Operating Expenses,1.09,1.07,0
Operating Income,-1.09,-1.07,-0
Other Expense / Income,-10.77,-2.91,-
Pretax Income,9.68,1.84,-0
Income Tax,0.98,0,0
Net Income,8.7,1.84,-0
Net Income Growth,373.14%,-,-
Shares Outstanding (Basic),44,38,6
Shares Outstanding (Diluted),44,38,6
Shares Change,16.19%,509.87%,-
EPS (Basic),0.20,0.05,-
EPS (Diluted),0.20,0.05,-
EPS Growth,300.00%,-,-
Free Cash Flow Per Share,-0.02,-0.02,-
Effective Tax Rate,10.13%,-,-
EBITDA,9.68,1.84,-0
EBIT,9.68,1.84,-0
