Year,2022,2021
"Selling, General & Admin",2.04,0.15
Other Operating Expenses,0.2,0.03
Operating Expenses,2.24,0.18
Operating Income,-2.24,-0.18
Other Expense / Income,-9.41,-4.15
Pretax Income,7.16,3.97
Income Tax,0.4,0
Net Income,6.76,3.97
Net Income Growth,70.44%,-
Shares Outstanding (Basic),18,7
Shares Outstanding (Diluted),18,7
Shares Change,159.27%,-
EPS (Basic),0.38,0.57
EPS (Diluted),0.38,0.57
EPS Growth,-33.33%,-
Free Cash Flow Per Share,-0.06,-0.11
Effective Tax Rate,5.62%,-
EBITDA,7.16,3.97
EBIT,7.16,3.97
