Year,2022,2021
"Selling, General & Admin",1.05,0.34
Other Operating Expenses,0.2,0.1
Operating Expenses,1.25,0.44
Operating Income,-1.25,-0.44
Other Expense / Income,-10.08,-2.9
Pretax Income,8.82,2.46
Income Tax,0.96,0
Net Income,7.87,2.46
Net Income Growth,220.40%,-
Shares Outstanding (Basic),45,23
Shares Outstanding (Diluted),45,23
Shares Change,94.78%,-
EPS (Basic),0.18,0.11
EPS (Diluted),0.18,0.11
EPS Growth,63.64%,-
Free Cash Flow Per Share,-0.02,-0.04
Effective Tax Rate,10.82%,-
EBITDA,8.82,2.46
EBIT,8.82,2.46
