Year,2022,2021
"Selling, General & Admin",2.72,2.54
Operating Expenses,2.72,2.54
Operating Income,-2.72,-2.54
Other Expense / Income,-11.28,-10.47
Pretax Income,8.56,7.93
Net Income,8.56,7.93
Net Income Growth,7.89%,-
Shares Outstanding (Basic),26,14
Shares Outstanding (Diluted),26,14
Shares Change,81.20%,-
EPS (Basic),0.26,0.39
EPS (Diluted),0.26,0.39
EPS Growth,-33.33%,-
Free Cash Flow Per Share,-0.03,-0.15
EBITDA,8.56,7.93
EBIT,8.56,7.93
