Year,2022,2021
"Selling, General & Admin",0.97,0.67
Other Operating Expenses,0.2,0.17
Operating Expenses,1.17,0.84
Operating Income,-1.17,-0.84
Interest Expense / Income,0,0
Other Expense / Income,-9.4,-7.95
Pretax Income,8.22,7.12
Income Tax,0.51,0
Net Income,7.71,7.12
Net Income Growth,8.38%,-
Shares Outstanding (Basic),22,13
Shares Outstanding (Diluted),22,13
Shares Change,63.76%,-
EPS (Basic),0.25,-1.33
EPS (Diluted),0.25,-1.33
Free Cash Flow Per Share,-0.05,-0.08
Effective Tax Rate,6.16%,-
EBITDA,8.22,7.12
EBIT,8.22,7.12
