Year,2022,2021,2020
"Selling, General & Admin",1.23,0.93,0.01
Operating Expenses,1.23,0.93,0.01
Operating Income,-1.23,-0.93,-0.01
Other Expense / Income,-12.84,-11.87,-
Pretax Income,11.62,10.94,-0.01
Net Income,11.62,10.94,-0.01
Net Income Growth,6.19%,-,-
Shares Outstanding (Basic),38,34,2
Shares Outstanding (Diluted),38,34,2
Shares Change,11.75%,1730.36%,-
EPS (Basic),0.31,0.33,-
EPS (Diluted),0.31,0.33,-
EPS Growth,-6.06%,-,-
Free Cash Flow Per Share,-0.03,-0.02,-
EBITDA,11.62,10.94,-0.01
EBIT,11.62,10.94,-0.01
