Year,2022,2021,2020
"Selling, General & Admin",2.24,2.39,0.07
Operating Expenses,2.24,2.39,0.07
Operating Income,-2.24,-2.39,-0.07
Interest Expense / Income,0.14,0.05,0
Other Expense / Income,-27.76,-4.58,4.8
Pretax Income,25.38,2.14,-4.87
Income Tax,1.29,0,0
Net Income,24.09,2.14,-4.87
Net Income Growth,1027.86%,-,-
Shares Outstanding (Basic),63,63,14
Shares Outstanding (Diluted),63,63,14
Shares Change,-,342.58%,-
EPS (Basic),0.39,0.03,-0.34
EPS (Diluted),0.39,0.03,-0.34
EPS Growth,1200.00%,-,-
Free Cash Flow Per Share,-0.02,-0.04,-0.00
Effective Tax Rate,5.07%,-,-
EBITDA,25.52,2.19,-4.87
EBIT,25.52,2.19,-4.87
