Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,989.68,805.05,585.76,"1,435.73","1,921.88","1,445.77",356.39,168.37
Revenue Growth (YoY),22.93%,37.44%,-59.20%,-25.30%,32.93%,305.68%,111.67%,-
Cost of Revenue,777.27,650.13,471.29,"1,125.76",194.49,143.83,66.68,34.42
Gross Profit,212.41,154.92,114.47,309.97,"1,727.38","1,301.95",289.7,133.95
"Selling, General & Admin",102.83,137.53,136.58,308.45,"1,664.77","1,321.61",399.19,284.78
Research & Development,0,0,0,272.34,241.27,153.91,72.83,45.36
Other Operating Expenses,0,0,0,284.68,0,0,0,0
Operating Expenses,102.83,137.53,136.58,865.48,"1,906.04","1,475.52",472.02,330.14
Operating Income,109.58,17.38,-22.11,-555.51,-178.66,-173.57,-182.32,-196.19
Interest Expense / Income,3.72,4.19,2.29,0,0,0,0,0
Other Expense / Income,231.08,213.56,281.03,-95.74,-9.57,0.17,-0.19,-0.01
Pretax Income,-125.23,-200.37,-305.43,-459.77,-169.09,-173.74,-182.13,-196.17
Income Tax,-0.92,-0.58,-1.28,-8.01,-4.47,28.38,0,0
Net Income,-124.31,-199.79,-304.15,-451.76,-164.62,-202.13,-182.13,-196.17
Shares Outstanding (Basic),424,424,423,421,417,353,346,346
Shares Outstanding (Diluted),424,424,423,421,417,353,346,346
Shares Change,0.09%,0.13%,0.60%,0.78%,18.07%,2.29%,-,-
EPS (Basic),-6.20,-9.40,-14.40,-21.40,-7.80,-11.40,-10.60,-11.40
EPS (Diluted),-6.20,-9.40,-14.40,-21.40,-7.80,-11.40,-10.60,-11.40
Free Cash Flow Per Share,-7.37,-14.05,-4.91,-10.33,-5.50,-2.65,-14.09,-9.48
Gross Margin,21.46%,19.24%,19.54%,21.59%,89.88%,90.05%,81.29%,79.56%
Operating Margin,11.07%,2.16%,-3.77%,-38.69%,-9.30%,-12.01%,-51.16%,-116.52%
Profit Margin,-12.56%,-24.82%,-51.92%,-31.47%,-8.57%,-13.98%,-51.10%,-116.51%
Free Cash Flow Margin,-15.78%,-36.97%,-17.73%,-15.13%,-5.97%,-3.25%,-68.32%,-97.23%
EBITDA,-117.04,-185.06,-284.51,-423.29,-143.8,-167.97,-177.49,-192.52
EBITDA Margin,-11.83%,-22.99%,-48.57%,-29.48%,-7.48%,-11.62%,-49.80%,-114.34%
Depreciation & Amortization,4.46,11.11,18.63,36.48,25.29,5.77,4.64,3.65
EBIT,-121.5,-196.17,-303.14,-459.77,-169.09,-173.74,-182.13,-196.17
EBIT Margin,-12.28%,-24.37%,-51.75%,-32.02%,-8.80%,-12.02%,-51.10%,-116.51%
