Year,2022,2021,2020
"Selling, General & Admin",1.15,1.24,0.03
Operating Expenses,1.15,1.24,0.03
Operating Income,-1.15,-1.24,-0.03
Other Expense / Income,-14.31,-2.88,-
Pretax Income,13.16,1.64,-0.03
Net Income,13.16,1.64,-0.03
Net Income Growth,702.78%,-,-
Shares Outstanding (Basic),47,46,9
Shares Outstanding (Diluted),47,46,9
Shares Change,2.47%,422.80%,-
EPS (Basic),0.28,0.04,-
EPS (Diluted),0.28,0.04,-
EPS Growth,600.00%,-,-
Free Cash Flow Per Share,-0.00,-0.04,-
EBITDA,13.16,1.64,-0.03
EBIT,13.16,1.64,-0.03
