Year,2022,2021
"Selling, General & Admin",2.31,0.67
Operating Expenses,2.31,0.67
Operating Income,-2.31,-0.67
Other Expense / Income,-18.53,-3.19
Pretax Income,16.22,2.52
Income Tax,0.92,0
Net Income,15.3,2.52
Net Income Growth,507.06%,-
Shares Outstanding (Basic),45,19
Shares Outstanding (Diluted),45,19
Shares Change,139.82%,-
EPS (Basic),0.34,0.13
EPS (Diluted),0.34,0.13
EPS Growth,161.54%,-
Free Cash Flow Per Share,-0.05,-0.06
Effective Tax Rate,5.67%,-
EBITDA,16.22,2.52
EBIT,16.22,2.52
