Year,2022,2021
"Selling, General & Admin",3.86,0.83
Other Operating Expenses,0.2,0.2
Operating Expenses,4.06,1.03
Operating Income,-4.06,-1.03
Other Expense / Income,-5.24,-4.53
Pretax Income,1.18,3.5
Income Tax,0.59,0
Net Income,0.59,3.5
Net Income Growth,-83.18%,-
Shares Outstanding (Basic),28,23
Shares Outstanding (Diluted),28,23
Shares Change,19.99%,-
EPS (Basic),0.02,0.15
EPS (Diluted),0.02,0.15
EPS Growth,-86.67%,-
Free Cash Flow Per Share,-0.07,-0.04
Effective Tax Rate,50.10%,-
EBITDA,1.18,3.5
EBIT,1.18,3.5
