Year,2022,2021
"Selling, General & Admin",1.17,0.36
Operating Expenses,1.17,0.36
Operating Income,-1.17,-0.36
Other Expense / Income,-26.42,-9.53
Pretax Income,25.25,9.17
Income Tax,1,0
Net Income,24.26,9.17
Net Income Growth,164.53%,-
Shares Outstanding (Basic),43,13
Shares Outstanding (Diluted),43,13
Shares Change,219.52%,-
EPS (Basic),0.56,0.69
EPS (Diluted),0.56,0.68
EPS Growth,-17.65%,-
Free Cash Flow Per Share,-0.04,-0.06
Effective Tax Rate,3.94%,-
EBITDA,25.25,9.17
EBIT,25.25,9.17
