Year,2022,2021,2020
"Selling, General & Admin",1,0.94,0
Operating Expenses,1,0.94,0
Operating Income,-1,-0.94,-0
Other Expense / Income,-10.84,-10.57,-
Pretax Income,9.84,9.64,-0
Income Tax,0.62,0,0
Net Income,9.22,9.64,-0
Net Income Growth,-4.34%,-,-
Shares Outstanding (Basic),31,26,6
Shares Outstanding (Diluted),31,26,6
Shares Change,19.67%,317.81%,-
EPS (Basic),0.29,0.37,-
EPS (Diluted),0.29,0.37,-
EPS Growth,-21.62%,-,-
Free Cash Flow Per Share,-0.03,-0.02,-
Effective Tax Rate,6.30%,-,-
EBITDA,9.84,9.64,-0
EBIT,9.84,9.64,-0
