Year,2022,2021,2020
"Selling, General & Admin",2.24,2.18,0.12
Operating Expenses,2.24,2.18,0.12
Operating Income,-2.24,-2.18,-0.12
Other Expense / Income,-5.56,-4.28,4.07
Pretax Income,3.32,2.1,-4.19
Income Tax,0.07,0,0
Net Income,3.25,2.1,-4.19
Net Income Growth,54.75%,-,-
Shares Outstanding (Basic),11,16,7
Shares Outstanding (Diluted),11,16,7
Shares Change,-28.71%,132.51%,-
EPS (Basic),0.28,0.13,-0.60
EPS (Diluted),0.28,0.13,-0.60
EPS Growth,115.38%,-,-
Free Cash Flow Per Share,-0.12,-0.05,-0.02
Effective Tax Rate,2.22%,-,-
EBITDA,3.32,2.1,-4.19
EBIT,3.32,2.1,-4.19
