Year,2022
"Selling, General & Admin",1.64
Operating Expenses,1.64
Operating Income,-1.64
Other Expense / Income,-1.22
Pretax Income,-0.42
Net Income,-0.42
Shares Outstanding (Basic),8
Shares Outstanding (Diluted),8
EPS (Basic),0.72
EPS (Diluted),0.72
EBIT,-0.42
