Year,2022,2021
"Selling, General & Admin",1.31,0.45
Other Operating Expenses,0.21,0.14
Operating Expenses,1.51,0.59
Operating Income,-1.51,-0.59
Other Expense / Income,-14.04,-1.59
Pretax Income,12.53,0.99
Income Tax,0.62,0
Net Income,11.91,0.99
Net Income Growth,1097.15%,-
Shares Outstanding (Basic),30,17
Shares Outstanding (Diluted),30,17
Shares Change,77.78%,-
EPS (Basic),0.40,0.06
EPS (Diluted),0.40,0.06
EPS Growth,566.67%,-
Free Cash Flow Per Share,-0.03,-0.07
Effective Tax Rate,4.98%,-
EBITDA,12.53,0.99
EBIT,12.53,0.99
