Year,2022,2021
"Selling, General & Admin",1.42,0.55
Other Operating Expenses,0.2,0.18
Operating Expenses,1.62,0.74
Operating Income,-1.62,-0.74
Other Expense / Income,-13.8,-5.23
Pretax Income,12.17,4.49
Income Tax,0.76,0
Net Income,11.41,4.49
Net Income Growth,154.13%,-
Shares Outstanding (Basic),31,17
Shares Outstanding (Diluted),31,17
Shares Change,81.22%,-
EPS (Basic),0.37,0.26
EPS (Diluted),0.37,0.26
EPS Growth,42.31%,-
Free Cash Flow Per Share,-0.03,-0.07
Effective Tax Rate,6.23%,-
EBITDA,12.17,4.49
EBIT,12.17,4.49
