Year,2022,2021,2020
"Selling, General & Admin",1.09,2.04,0.05
Other Operating Expenses,0.2,0.21,0
Operating Expenses,1.3,2.24,0.05
Operating Income,-1.3,-2.24,-0.05
Other Expense / Income,-13.29,-10.7,5.75
Pretax Income,12,8.45,-5.8
Income Tax,0.93,0,0
Net Income,11.07,8.45,-5.8
Net Income Growth,30.94%,-,-
Shares Outstanding (Basic),63,64,12
Shares Change,-1.54%,435.52%,-
EPS (Basic),0.18,0.13,-0.49
EPS (Diluted),0.18,0.13,-0.49
EPS Growth,38.46%,-,-
Effective Tax Rate,7.71%,-,-
EBITDA,12,8.45,-5.8
EBIT,12,8.45,-5.8
