Year,2022,2021
"Selling, General & Admin",2.45,2.53
Other Operating Expenses,-0.58,0
Operating Expenses,1.87,2.53
Operating Income,-1.87,-2.53
Other Expense / Income,-12.66,-6.9
Pretax Income,10.79,4.37
Income Tax,0.54,0
Net Income,10.25,4.37
Net Income Growth,134.56%,-
Shares Outstanding (Basic),34,34
Shares Outstanding (Diluted),34,34
EPS (Basic),0.30,0.13
EPS (Diluted),0.30,0.13
EPS Growth,130.77%,-
Free Cash Flow Per Share,-0.03,-0.04
Effective Tax Rate,5.00%,-
EBITDA,10.79,4.37
EBIT,10.79,4.37
