Year,2022,2021,2020,2019
"Selling, General & Admin",4.04,6.24,0,0
Operating Expenses,4.04,6.24,0,0
Operating Income,-4.04,-6.24,-0,-0
Interest Expense / Income,0.03,0,0,0
Other Expense / Income,-29.77,-17.47,-,-
Pretax Income,25.7,11.23,-0,-0
Net Income,25.7,11.23,-0,-0
Net Income Growth,128.90%,-,-,-
Shares Outstanding (Basic),86,78,15,13
Shares Outstanding (Diluted),86,78,15,13
Shares Change,10.17%,421.92%,20.00%,-
EPS (Basic),0.30,0.14,-,-
EPS (Diluted),0.30,0.14,-,-
EPS Growth,114.29%,-,-,-
Free Cash Flow Per Share,-0.03,-0.03,-,-
EBITDA,25.73,11.23,-0,-0
EBIT,25.73,11.23,-0,-0
