Year,2022,2021
"Selling, General & Admin",1.53,0.64
Operating Expenses,1.53,0.64
Operating Income,-1.53,-0.64
Other Expense / Income,-15.97,-12.28
Pretax Income,14.44,11.64
Income Tax,0.63,0
Net Income,13.81,11.64
Net Income Growth,18.61%,-
Shares Outstanding (Basic),29,10
Shares Outstanding (Diluted),29,10
Shares Change,189.66%,-
EPS (Basic),0.48,1.17
EPS (Diluted),0.48,1.17
EPS Growth,-58.97%,-
Free Cash Flow Per Share,-0.05,-0.11
Effective Tax Rate,4.36%,-
EBITDA,14.44,11.64
EBIT,14.44,11.64
