symbol,date,open,high,low,close,volume,adjclose,splits
LMFA,2017-01-03,219.5,219.5,219.5,219.5,8,219.5,0.0
LMFA,2017-01-04,216.85000610351562,218.5,193.5,212.39999389648438,106,212.39999389648438,0.0
LMFA,2017-01-05,205.5,215.0,205.5,206.0,20,206.0,0.0
LMFA,2017-01-06,203.0500030517578,205.0,203.0500030517578,205.0,4,205.0,0.0
LMFA,2017-01-09,203.5,206.9499969482422,203.0,203.0,38,203.0,0.0
LMFA,2017-01-10,203.0,203.0,203.0,203.0,2,203.0,0.0
LMFA,2017-01-11,203.0,215.0,194.0,205.5,26,205.5,0.0
LMFA,2017-01-12,205.5,205.5,205.5,205.5,16,205.5,0.0
LMFA,2017-01-13,206.0,206.0,205.5,205.5,58,205.5,0.0
LMFA,2017-01-17,205.5,214.5,205.5,214.5,42,214.5,0.0
LMFA,2017-01-18,217.5,217.5,217.5,217.5,10,217.5,0.0
LMFA,2017-01-19,212.5,212.5,212.5,212.5,4,212.5,0.0
LMFA,2017-01-20,212.5,212.5,212.5,212.5,0,212.5,0.0
LMFA,2017-01-23,212.5,212.5,212.5,212.5,0,212.5,0.0
LMFA,2017-01-24,206.0,206.0,205.5,205.5,22,205.5,0.0
LMFA,2017-01-25,218.6999969482422,218.6999969482422,215.0,215.0,22,215.0,0.0
LMFA,2017-01-26,206.5,212.4499969482422,205.5,205.5,60,205.5,0.0
LMFA,2017-01-27,205.5,211.5,205.5,205.5,20,205.5,0.0
LMFA,2017-01-30,205.5,215.0,205.5,215.0,10,215.0,0.0
LMFA,2017-01-31,207.0,212.0,207.0,212.0,8,212.0,0.0
LMFA,2017-02-01,207.0,212.0,207.0,212.0,4,212.0,0.0
LMFA,2017-02-02,206.5,207.0,206.5,207.0,14,207.0,0.0
LMFA,2017-02-03,205.5,206.0,205.0,206.0,50,206.0,0.0
LMFA,2017-02-06,224.75,224.75,224.75,224.75,40,224.75,0.0
LMFA,2017-02-07,205.8000030517578,205.8000030517578,205.8000030517578,205.8000030517578,2,205.8000030517578,0.0
LMFA,2017-02-08,205.5,213.5,205.5,213.5,52,213.5,0.0
LMFA,2017-02-09,208.0,208.0,208.0,208.0,2,208.0,0.0
LMFA,2017-02-10,205.5,222.5,205.5,222.5,12,222.5,0.0
LMFA,2017-02-13,208.0,210.5500030517578,205.5,205.5,116,205.5,0.0
LMFA,2017-02-14,206.0,209.64999389648438,205.5,208.0,50,208.0,0.0
LMFA,2017-02-15,208.0,208.0,208.0,208.0,0,208.0,0.0
LMFA,2017-02-16,208.0,215.6999969482422,208.0,208.3000030517578,28,208.3000030517578,0.0
