Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+8 Quarters
Revenue,108.65,87.34,73.77,70.28,66.04,72.57,76.09,75.98,82.16,81.91,90.05,75.89,67.72,69.49,70.85,69.91,66.68,63.47,67.03,67.08,65.44,42.52,43.57,44.82,41.62,44.5,43.38,38.8,35.34,49.93,38.73,39.74,37.55,36.2,41.99,42.92,41.22,45.18,48.42,49.94,Upgrade
Revenue Growth (YoY),64.54%,20.35%,-3.05%,-7.51%,-19.62%,-11.41%,-15.50%,0.12%,21.32%,17.88%,27.09%,8.56%,1.56%,9.48%,5.71%,4.23%,1.90%,49.27%,53.84%,49.64%,57.22%,-4.43%,0.44%,15.52%,17.77%,-10.88%,11.99%,-2.38%,-5.87%,37.91%,-7.77%,-7.41%,-8.92%,-19.88%,-13.26%,-14.05%,-19.65%,-19.19%,-7.42%,0.41%,Upgrade
Gross Profit,108.65,87.34,73.77,70.28,66.04,72.57,76.09,75.98,82.16,81.91,90.05,75.89,67.72,69.49,70.85,69.91,66.68,63.47,67.03,67.08,65.44,42.52,43.57,44.82,41.62,44.5,43.38,38.8,35.34,49.93,38.73,39.74,37.55,36.2,41.99,42.92,41.22,45.18,48.42,49.94,Upgrade
"Selling, General & Admin",49.27,59.46,48.25,40.05,39.6,40.18,45.14,41.1,43.6,43.46,49.17,47.15,43.65,41.51,44.21,41.39,38.86,37.19,39.48,40.39,47.04,29.67,27.71,28.52,28.48,28.2,28.84,28.46,29.2,33.04,31.43,32.02,31.36,31.89,31.67,32.07,32.06,32.67,34.44,34.51,Upgrade
Other Operating Expenses,9.02,8.21,5.68,5.5,4.48,4.32,6.17,5.24,6.06,4.96,6.15,6.61,5.02,4.6,-0.42,5.06,5.53,5.66,4.95,6.37,8.25,4.35,6.9,4.92,6.12,6.22,4.53,4.86,5.7,8.73,7.73,7.87,5.76,1.48,7.57,8.37,7.86,10.89,11.73,10.39,Upgrade
Operating Expenses,58.29,67.66,53.94,45.55,44.08,44.51,51.31,46.34,49.67,48.43,55.32,53.76,48.67,46.11,43.79,46.45,44.39,42.86,44.43,46.76,55.28,34.03,34.61,33.44,34.61,34.42,33.37,33.31,34.9,41.77,39.15,39.89,37.11,33.37,39.24,40.44,39.92,43.56,46.17,44.91,Upgrade
Operating Income,50.36,19.67,19.83,24.72,21.96,28.06,24.78,29.64,32.49,33.49,34.73,22.13,19.05,23.38,27.06,23.46,22.29,20.62,22.59,20.31,10.16,8.5,8.96,11.38,7.02,10.07,10.01,5.49,0.44,8.16,-0.42,-0.14,0.43,2.83,2.76,2.49,1.31,1.63,2.24,5.04,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.46,-0.48,0.51,-0.39,-0.22,-1.26,-0.58,-0.9,0.68,0.44,0.32,Upgrade
Pretax Income,50.36,19.67,19.83,24.72,21.96,28.06,24.78,29.64,32.49,33.49,34.73,22.13,19.05,23.38,27.06,23.46,22.29,20.62,22.59,20.31,10.16,8.5,8.96,11.38,7.02,10.07,10.01,5.49,0.44,7.7,0.06,-0.65,0.82,3.05,4.01,3.07,2.21,0.94,1.8,4.71,Upgrade
Income Tax,10.08,2.95,3.99,4.36,3.6,5.3,4.95,5.44,5.68,6.32,6.83,4.43,3.23,3.86,5.42,3.18,3.37,3.38,4.35,2.8,1.7,18.62,1.73,2.18,-1.24,0.08,1.7,0.98,0.19,4.36,-1.58,0.69,-0.42,0.77,0.68,0.94,0.78,-0.06,0.86,1.81,Upgrade
Net Income,40.28,16.72,15.84,20.36,18.35,22.77,19.83,24.2,26.81,27.17,27.89,17.71,15.82,19.52,21.64,20.28,18.92,17.24,18.24,17.51,8.46,-10.12,7.23,9.21,8.26,9.99,8.31,4.5,0.25,3.34,1.64,-1.34,1.25,2.28,3.34,2.13,1.43,1,0.95,2.9,Upgrade
Net Income Growth,119.50%,-26.56%,-20.11%,-15.86%,-31.55%,-16.19%,-28.92%,36.68%,69.44%,39.19%,28.88%,-12.71%,-16.37%,13.25%,18.65%,15.82%,123.56%,-,152.25%,90.16%,2.49%,-,-13.03%,104.46%,3190.04%,199.13%,408.19%,-,-79.86%,46.56%,-50.97%,-,-12.93%,127.90%,252.38%,-26.54%,-31.27%,-66.70%,-,7.25%,Upgrade
Shares Outstanding (Basic),38,38,31,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,27,27,27,27,26,28,29,30,31,33,36,38,39,42,44,45,47,51,52,Upgrade
Shares Outstanding (Diluted),38,38,32,30,30,31,31,31,31,31,31,31,31,32,32,32,31,32,32,31,31,28,28,28,28,29,28,29,30,31,33,36,38,39,42,44,45,47,52,52,Upgrade
Shares Change,24.92%,24.15%,1.50%,-2.35%,-2.13%,-0.98%,0.45%,1.19%,-0.70%,-1.34%,-1.86%,-2.36%,-0.43%,-0.14%,-0.10%,0.69%,1.14%,12.98%,14.16%,13.73%,12.51%,-3.80%,-0.97%,-5.74%,-8.10%,-5.24%,-14.85%,-19.04%,-20.80%,-22.27%,-21.70%,-17.58%,-15.23%,-16.81%,-18.76%,-15.75%,-14.30%,-9.41%,-1.32%,-0.45%,Upgrade
EPS (Basic),1.06,0.42,0.51,0.67,0.61,0.75,0.64,0.78,0.87,0.88,0.91,0.57,0.51,0.62,0.69,0.65,0.61,0.56,0.59,0.57,0.28,-0.38,0.27,0.34,0.31,0.36,0.30,0.15,0.01,0.10,0.05,-0.04,0.03,0.06,0.08,0.05,0.03,0.03,0.02,0.06,Upgrade
EPS (Diluted),1.06,0.41,0.50,0.67,0.60,0.74,0.64,0.77,0.86,0.88,0.90,0.57,0.50,0.62,0.69,0.64,0.60,0.54,0.58,0.56,0.27,-0.36,0.26,0.33,0.30,0.34,0.30,0.15,0.01,0.10,0.05,-0.04,0.03,0.06,0.08,0.05,0.03,0.03,0.02,0.06,Upgrade
