Metrics,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31
Shares Outstanding (Basic),40,22,21,18,18,16,16,16,15,15,15,12,12,12
Shares Change,119.69%,32.19%,26.34%,15.27%,17.76%,10.71%,10.71%,31.02%,28.56%,22.46%,-,-,-,-
