Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-03-31,2019-12-31
Revenue,19.22,15.59,18.29,21.7,21.9,18.58,17.43,13.88,-,7.7,-
Revenue Growth (YoY),-12.23%,-16.11%,4.93%,56.31%,-,141.21%,-,-,-,-,-
Gross Profit,19.22,15.59,18.29,21.7,21.9,18.58,17.43,13.88,-,7.7,-
"Selling, General & Admin",6.65,5.78,7.6,7.39,5.71,6.14,5.69,5.09,-,4.15,-
Other Operating Expenses,3.57,2.69,3.42,1.65,2.66,1.26,1.39,1.57,0,1.14,0
Operating Expenses,10.22,8.47,11.02,9.05,8.37,7.4,7.08,6.66,-,5.29,-
Operating Income,9,7.12,7.27,12.65,13.53,11.18,10.35,7.22,-,2.41,-
Pretax Income,9,7.12,7.27,12.65,13.53,11.18,10.35,7.22,-,2.41,-
Income Tax,2.45,3.46,1.79,3.21,3.42,2.74,2.61,1.93,-,0.6,-
Net Income,6.55,3.65,5.48,9.43,10.11,8.44,7.74,5.29,-,1.81,-
Net Income Growth,-35.27%,-56.72%,-29.16%,78.30%,-,365.38%,-,-,-,-,-
Shares Outstanding (Basic),13,13,13,13,10,8,8,8,8,8,7
Shares Outstanding (Diluted),13,13,13,14,11,9,9,8,-,8,-
Shares Change,22.40%,51.22%,55.10%,62.76%,34.52%,9.47%,22.90%,-,-,-,-
EPS (Basic),0.51,0.28,0.43,0.74,0.97,0.97,0.89,0.61,-,0.21,-
EPS (Diluted),0.50,0.27,0.41,0.70,0.91,0.91,0.84,0.59,-,0.21,-
EPS Growth,-45.05%,-70.33%,-51.19%,18.64%,-,333.33%,-,-,-,-,-
Free Cash Flow Per Share,1.70,-0.19,3.18,-0.45,1.12,0.36,-2.04,-1.14,-,2.81,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,100.00%,-
Operating Margin,46.82%,45.66%,39.74%,58.30%,61.77%,60.18%,59.38%,52.00%,-,31.34%,-
Profit Margin,34.05%,23.45%,29.98%,43.48%,46.17%,45.44%,44.41%,38.12%,-,23.55%,-
Free Cash Flow Margin,112.64%,-15.50%,221.15%,-26.43%,51.86%,16.08%,-95.98%,-66.16%,-,292.24%,-
Effective Tax Rate,27.27%,48.65%,24.57%,25.41%,25.25%,24.49%,25.21%,26.69%,-,24.86%,-
EBITDA,11.41,7.95,7.99,13.12,13.82,11.33,10.68,7.49,-,2.51,-
EBITDA Margin,59.37%,51.02%,43.71%,60.48%,63.09%,61.01%,61.26%,53.93%,-,32.63%,-
Depreciation & Amortization,2.41,0.84,0.73,0.47,0.29,0.15,0.33,0.27,-,0.1,-
EBIT,9,7.12,7.27,12.65,13.53,11.18,10.35,7.22,-,2.41,-
EBIT Margin,46.82%,45.66%,39.74%,58.30%,61.77%,60.18%,59.38%,52.00%,-,31.34%,-
