Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.41,0.4,0.22,0.24,0.04,0,0
Operating Expenses,0.41,0.4,0.22,0.24,0.04,0,0
Operating Income,-0.41,-0.4,-0.22,-0.24,-0.04,0,-0
Other Expense / Income,-1.32,-2.21,-1.46,-3.95,-0.35,-,-
Pretax Income,0.91,1.81,1.24,3.71,0.3,0,-0
Income Tax,0.43,0.04,0.03,0,0,0,0
Net Income,0.48,1.76,1.21,3.71,0.3,0,-0
Net Income Growth,60.44%,-,-,-,-,-,-
Shares Outstanding (Basic),5,5,5,5,4,4,4
Shares Outstanding (Diluted),5,5,5,5,4,4,4
Shares Change,22.61%,25.91%,25.91%,-,-,-,-
EPS (Basic),0.02,0.07,0.05,0.15,0.06,-,-
EPS (Diluted),0.02,0.07,0.05,0.15,0.06,-,-
EPS Growth,-66.67%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.02,-0.01,-0.04,-0.16,-,-
Effective Tax Rate,47.11%,2.38%,2.14%,-,-,-,-
EBITDA,0.91,1.81,1.24,3.71,0.3,0,-0
EBIT,0.91,1.81,1.24,3.71,0.3,0,-0
