Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.36,0.37,0.38,0.56,0.64,0.34,0.01,0.01
Operating Expenses,0.36,0.37,0.38,0.56,0.64,0.34,0.01,0.01
Operating Income,-0.36,-0.37,-0.38,-0.56,-0.64,-0.34,-0.01,-0.01
Other Expense / Income,-1.01,-0.9,-1.72,-3.01,-0.5,-1.36,-,-
Pretax Income,0.65,0.53,1.34,2.45,-0.15,1.02,-0.01,-0.01
Net Income,0.65,0.53,1.34,2.45,-0.15,1.02,-0.01,-0.01
Net Income Growth,-,-47.51%,-,-,-,-,-,-
Shares Outstanding (Basic),25,25,25,25,14,16,2,2
Shares Outstanding (Diluted),25,25,25,25,14,16,2,2
Shares Change,86.51%,60.05%,1047.04%,1047.04%,-,-,-,-
EPS (Basic),0.03,0.02,0.05,0.10,-0.06,0.06,-,-
EPS (Diluted),0.03,0.02,0.05,0.10,-0.06,0.06,-,-
EPS Growth,-,-66.67%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.02,-0.10,-,-
EBITDA,0.65,0.53,1.34,2.45,-0.15,1.02,-0.01,-0.01
EBIT,0.65,0.53,1.34,2.45,-0.15,1.02,-0.01,-0.01
