Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+41 Quarters
Revenue,13.95,14.86,14.55,13.67,13.26,12.71,12.39,10.93,9.66,9.83,8.28,8.38,8.23,9.17,9.26,8.8,8.88,8.94,9.26,8.9,9.08,8.86,8.44,8.23,7.93,8.04,8.16,7.91,7.64,7.8,7.67,7.48,6.22,10.4,6.51,6.76,6.24,9.27,5.98,4.19,Upgrade
Revenue Growth (YoY),5.24%,16.98%,17.50%,25.07%,37.33%,29.27%,49.68%,30.37%,17.39%,7.23%,-10.66%,-4.73%,-7.42%,2.48%,0.01%,-1.10%,-2.16%,0.94%,9.77%,8.16%,14.46%,10.21%,3.42%,4.03%,3.81%,3.13%,6.36%,5.76%,22.80%,-25.07%,17.91%,10.54%,-0.30%,12.23%,8.80%,61.39%,-1.92%,50.95%,7.92%,-25.25%,Upgrade
Gross Profit,13.95,14.86,14.55,13.67,13.26,12.71,12.39,10.93,9.66,9.83,8.28,8.38,8.23,9.17,9.26,8.8,8.88,8.94,9.26,8.9,9.08,8.86,8.44,8.23,7.93,8.04,8.16,7.91,7.64,7.8,7.67,7.48,6.22,10.4,6.51,6.76,6.24,9.27,5.98,4.19,Upgrade
"Selling, General & Admin",6.69,6.74,6.53,6.46,6.42,7.79,7.24,4.93,5.05,4.25,4.45,3.99,4.56,4.23,4.5,4.5,4.44,4.4,4.28,4.17,4.25,4.29,4.11,4,4.09,3.87,4.03,4.2,4.41,4.59,4.01,4.76,3.94,3.45,3.55,3.43,3.33,3.68,3.27,3.33,Upgrade
Other Operating Expenses,2.51,2.21,2.56,2.46,2.23,2.24,2.19,1.7,1.6,1.66,1.69,1.62,1.58,1.58,1.68,1.73,1.66,1.68,1.67,1.7,1.62,1.74,1.7,1.7,1.66,1.77,1.83,1.68,1.7,1.92,2.69,2.1,1.55,1.42,1.21,1.12,1.28,2.56,1.38,1.44,Upgrade
Operating Expenses,9.2,8.95,9.08,8.92,8.64,10.03,9.43,6.63,6.65,5.91,6.14,5.61,6.14,5.8,6.19,6.23,6.1,6.08,5.95,5.86,5.87,6.02,5.81,5.71,5.75,5.64,5.85,5.88,6.12,6.51,6.7,6.86,5.49,4.87,4.75,4.55,4.61,6.23,4.65,4.76,Upgrade
Operating Income,4.75,5.91,5.47,4.75,4.62,2.68,2.96,4.3,3.01,3.92,2.14,2.77,2.08,3.36,3.08,2.57,2.79,2.86,3.31,3.03,3.21,2.84,2.63,2.52,2.18,2.41,2.31,2.03,1.53,1.28,0.97,0.62,0.74,5.53,1.75,2.22,1.63,3.04,1.33,-0.57,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.25,-1.25,Upgrade
Pretax Income,4.75,5.91,5.47,4.75,4.62,2.68,2.96,4.3,3.01,3.92,2.14,2.77,2.08,3.36,3.08,2.57,2.79,2.86,3.31,3.03,3.21,2.84,2.63,2.52,2.18,2.41,2.31,2.03,1.53,1.28,0.97,0.62,0.74,5.53,1.75,2.22,1.63,3.04,0.08,0.69,Upgrade
Income Tax,0.91,1.13,1.02,0.92,0.89,0.5,0.56,0.96,0.57,0.76,0.39,0.53,0.38,0.65,0.58,0.48,0.53,0.54,0.64,0.58,0.53,1.52,0.8,0.77,0.64,0.72,0.61,0.59,0.43,0.34,0.24,0.18,0.19,1.84,0.51,0.67,0.48,-4.35,-0.18,-0.56,Upgrade
Net Income,3.85,4.78,4.45,3.84,3.73,2.18,2.4,3.34,2.44,3.16,1.75,2.24,1.71,2.72,2.49,2.09,2.26,2.32,2.68,2.45,2.69,1.32,1.83,1.76,1.54,1.68,1.69,1.43,1.1,0.94,0.73,0.44,0.54,3.7,1.25,1.54,1.15,7.39,0.26,1.24,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.33,0.33,0.33,0.33,0.33,0.26,0.22,0.23,0,0.46,Upgrade
Net Income Common,3.85,4.78,4.45,3.84,3.73,2.18,2.4,3.34,2.44,3.16,1.75,2.24,1.71,2.72,2.49,2.09,2.26,2.32,2.68,2.45,2.69,1.32,1.83,1.76,1.54,1.68,1.69,1.43,1.1,0.81,0.4,0.12,0.22,3.37,0.92,1.28,0.93,7.16,0.25,0.79,Upgrade
Net Income Growth,3.22%,118.92%,85.74%,14.75%,53.08%,-30.83%,36.72%,49.00%,42.87%,16.20%,-29.64%,7.53%,-24.59%,17.02%,-6.84%,-14.89%,-15.85%,76.23%,46.07%,39.58%,74.14%,-21.65%,8.15%,22.54%,40.40%,106.77%,325.63%,1135.34%,411.16%,-75.86%,-56.64%,-90.94%,-76.78%,-52.97%,261.42%,62.36%,22.32%,-,-78.47%,9.89%,Upgrade
Shares Outstanding (Basic),6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Upgrade
