Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Dividend Per Share,0.165,0.165,0.165,0.165,0.160,0.160,0.160,0.160,0.150,0.150,0.150,0.150,0.145,0.145,0.145,0.145,0.142,0.142,0.142,0.142,0.140,0.140,0.140,0.140,0.138,0.138,0.138,0.138,0.135,0.135,0.135,0.135,0.132,0.132,0.132,0.132,0.128,0.128,0.128,0.128,Upgrade
Dividend Growth,3.13%,3.13%,3.13%,3.13%,6.67%,6.67%,6.67%,6.67%,3.45%,3.45%,3.45%,3.45%,2.11%,2.11%,2.11%,2.11%,1.43%,1.43%,1.43%,1.43%,1.45%,1.45%,1.45%,1.45%,2.22%,2.22%,2.22%,2.22%,2.27%,2.27%,2.27%,2.27%,3.13%,3.13%,3.13%,3.13%,4.92%,4.92%,4.92%,4.92%,Upgrade
Gross Margin,37.95%,32.77%,26.24%,30.06%,42.43%,33.23%,26.43%,43.66%,39.13%,40.08%,37.57%,46.19%,35.60%,38.67%,32.74%,32.86%,41.57%,22.28%,29.08%,30.04%,16.61%,30.78%,37.67%,29.61%,35.59%,35.09%,35.93%,38.80%,41.95%,36.67%,35.47%,37.65%,37.42%,32.23%,38.35%,32.30%,30.15%,39.86%,38.31%,33.69%,Upgrade
Operating Margin,2.87%,2.45%,-6.25%,-5.06%,7.89%,3.76%,-4.15%,9.71%,6.60%,10.14%,7.40%,14.29%,1.48%,9.99%,3.41%,2.94%,12.77%,-9.27%,0.96%,-0.39%,-14.83%,1.09%,4.83%,-1.64%,3.96%,4.86%,3.94%,7.33%,9.89%,2.07%,4.50%,5.56%,6.04%,2.96%,7.36%,1.90%,-0.30%,9.06%,7.19%,2.36%,Upgrade
Profit Margin,2.32%,1.56%,-4.88%,-4.02%,6.33%,2.51%,-3.30%,7.88%,5.32%,7.38%,6.02%,11.40%,2.02%,7.04%,2.62%,2.41%,10.72%,-8.03%,0.60%,-0.40%,-9.60%,-1.46%,3.83%,-1.26%,2.85%,3.13%,2.75%,5.05%,7.13%,1.21%,3.56%,4.09%,4.43%,2.96%,5.87%,1.33%,-0.45%,6.86%,5.53%,1.94%,Upgrade
Free Cash Flow Margin,-0.32%,7.70%,7.01%,6.97%,10.01%,8.83%,-0.35%,14.40%,15.44%,16.54%,10.34%,18.74%,5.84%,13.89%,13.75%,4.24%,5.88%,2.11%,11.85%,12.51%,6.09%,9.43%,9.60%,13.04%,11.27%,7.68%,10.66%,8.97%,7.29%,11.95%,8.92%,15.75%,6.01%,12.15%,15.81%,4.48%,-4.36%,9.26%,11.13%,10.75%,Upgrade
Effective Tax Rate,17.36%,14.81%,-,-,18.99%,19.15%,-,17.94%,17.42%,21.04%,17.41%,18.97%,-49.06%,23.05%,17.74%,13.53%,14.24%,-,5.53%,-,-,1113.91%,16.49%,-,24.09%,18.74%,25.13%,28.73%,26.03%,37.67%,18.77%,22.97%,23.97%,-8.30%,17.57%,16.43%,-,21.93%,19.55%,8.15%,Upgrade
EBITDA,7.57,5.33,-12.16,-9.08,17.72,8.02,-7.01,21.34,14.72,20.38,16.16,30.18,4.46,19.93,8.03,7.39,28.87,-17.7,4.12,0.82,-26.57,1.97,10.37,-1.33,8.8,8.43,8.48,14.26,18.41,7.24,8.12,9.64,10.45,5.38,11.91,3.66,0.37,13.24,10.65,4.03,Upgrade
EBITDA Margin,3.37%,2.39%,-5.71%,-4.44%,8.54%,3.82%,-3.45%,10.40%,7.43%,10.32%,8.23%,15.17%,2.41%,9.92%,4.06%,3.72%,13.45%,-9.48%,2.06%,0.42%,-14.03%,1.03%,5.58%,-0.72%,4.92%,4.76%,4.83%,8.40%,11.09%,4.42%,5.08%,6.10%,6.75%,3.55%,7.99%,2.52%,0.26%,9.50%,7.70%,2.97%,Upgrade
Depreciation & Amortization,1.12,1.09,1.14,1.26,1.34,1.35,1.41,1.43,1.65,1.61,1.61,1.76,1.74,1.27,1.29,1.55,1.46,1.32,2.19,1.59,1.5,1.32,1.39,1.68,1.71,1.22,1.57,1.81,1.98,3.85,0.93,0.86,1.1,0.9,0.93,0.9,0.79,0.61,0.71,0.83,Upgrade
EBIT,6.45,4.24,-13.3,-10.34,16.38,6.68,-8.42,19.91,13.06,18.77,14.55,28.42,2.73,18.66,6.75,5.84,27.41,-19.03,1.93,-0.77,-28.07,0.65,8.98,-3.01,7.09,7.21,6.9,12.45,16.43,3.39,7.19,8.78,9.35,4.48,10.98,2.76,-0.43,12.63,9.95,3.2,Upgrade
EBIT Margin,2.87%,1.90%,-6.25%,-5.06%,7.89%,3.18%,-4.15%,9.71%,6.60%,9.51%,7.40%,14.29%,1.48%,9.29%,3.41%,2.94%,12.77%,-10.18%,0.96%,-0.39%,-14.83%,0.34%,4.83%,-1.64%,3.96%,4.07%,3.94%,7.33%,9.89%,2.07%,4.50%,5.56%,6.04%,2.96%,7.36%,1.90%,-0.30%,9.06%,7.19%,2.36%,Upgrade
