Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+101 Quarters
EPS Growth,557.89%,-54.69%,-,-,-51.49%,13.61%,-63.77%,13.33%,-,30.05%,87.71%,89.52%,-,-,-10.29%,17.90%,-,-,356.13%,181.67%,-,417.25%,-43.53%,-14.79%,-27.40%,14.86%,-23.67%,24.57%,8.21%,31.36%,104.09%,-37.21%,9.82%,-16.34%,-8.56%,40.75%,-3.86%,9.19%,29.54%,46.81%,Upgrade
Free Cash Flow Per Share,2.49,3.45,2.17,1.69,1.67,3.76,3.12,2.95,3.07,3.54,3.08,1.57,2.97,2.23,2.28,1.80,2.58,2.74,1.94,2.01,2.02,3.08,2.24,6.47,1.56,2.67,1.84,1.88,1.24,2.13,1.86,1.02,1.15,3.35,1.46,0.87,1.46,1.97,1.75,1.56,Upgrade
Gross Margin,100.00%,-34.21%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,38.05%,25.04%,-4.92%,-591.45%,11.22%,44.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Profit Margin,29.55%,19.61%,-4.08%,-468.37%,7.93%,35.52%,13.70%,29.11%,16.66%,34.54%,31.86%,27.13%,-,30.16%,21.77%,19.11%,26.74%,-90.02%,23.72%,17.52%,-2.26%,55.26%,6.72%,7.41%,6.23%,10.90%,12.19%,9.18%,10.67%,10.57%,15.98%,7.81%,10.62%,8.61%,9.02%,12.85%,10.35%,10.61%,10.86%,10.16%,Upgrade
Free Cash Flow Margin,4.14%,6.09%,11.96%,51.71%,5.43%,3.35%,11.24%,7.37%,9.65%,6.80%,8.91%,7.69%,-,7.49%,7.19%,7.59%,5.46%,22.51%,8.64%,6.99%,9.84%,8.46%,12.57%,9.61%,24.47%,6.66%,11.13%,8.32%,8.85%,5.90%,8.89%,8.94%,5.17%,5.88%,16.10%,7.25%,4.69%,7.67%,10.44%,9.63%,Upgrade
Effective Tax Rate,20.10%,17.51%,-,-,18.01%,18.50%,14.74%,20.42%,18.50%,20.42%,19.82%,25.42%,-,20.57%,18.70%,20.19%,21.39%,-,19.18%,20.01%,-,-410.97%,25.35%,28.94%,27.23%,31.77%,30.33%,31.06%,12.38%,24.85%,32.30%,29.75%,31.57%,27.79%,30.06%,27.57%,27.66%,29.99%,30.16%,33.07%,Upgrade
EBITDA,"48,768","25,951",-397,"-52,064","10,424","52,396","15,908","39,138","18,122","49,069","41,237","38,823","-59,489","40,380","23,875","21,107","30,984","-28,868","26,271","17,940","1,989","10,233","9,023","9,832","8,919","12,095","13,679","10,252","9,686","10,098","16,827","8,660","10,324","8,542","9,317","11,487","9,084","10,349","9,338","8,856",Upgrade
EBITDA Margin,40.59%,28.02%,-0.63%,-562.19%,15.14%,46.65%,21.07%,40.55%,25.78%,47.30%,43.59%,40.05%,-,41.77%,31.46%,28.66%,38.25%,-102.35%,33.61%,26.17%,3.94%,17.37%,14.91%,17.09%,13.68%,20.97%,23.16%,18.82%,18.48%,19.49%,28.53%,16.86%,21.22%,17.70%,18.20%,23.08%,19.99%,22.00%,20.06%,19.82%,Upgrade
Depreciation & Amortization,"3,051","2,758","2,728","2,710","2,703","2,705","2,668","2,672","2,673","2,904","2,583","2,524","2,585","2,657","2,534","2,456","2,417","2,610","2,395","2,387","2,387","2,353","2,296","2,296","2,243","2,296","2,246","2,234","2,125","1,978","1,989","1,941","1,871","1,934","1,854","1,810","1,772","2,472","1,354","1,345",Upgrade
EBIT,"45,717","23,193","-3,125","-54,774","7,721","49,691","13,240","36,466","15,449","46,165","38,654","36,299","-62,074","37,723","21,341","18,651","28,567","-31,478","23,876","15,553",-398,"7,880","6,727","7,536","6,676","9,799","11,433","8,018","7,561","8,120","14,838","6,719","8,453","6,608","7,463","9,677","7,312","7,877","7,984","7,511",Upgrade
EBIT Margin,38.05%,25.04%,-4.92%,-591.45%,11.22%,44.24%,17.54%,37.79%,21.98%,44.50%,40.86%,37.45%,-,39.02%,28.12%,25.33%,35.27%,-111.60%,30.55%,22.68%,-0.79%,13.38%,11.11%,13.10%,10.24%,16.99%,19.36%,14.72%,14.43%,15.67%,25.15%,13.08%,17.38%,13.69%,14.58%,19.45%,16.09%,16.74%,17.15%,16.81%,Upgrade
