Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,62.88,65.55,65.45,64.48,57.9,53.7,58.84,58.78,55.47,54.83,47.17,44.98,45.19,49.09,47.83,43.9,44.57,42.72,37.01,35.13,34.75,32.4,32.94,32.26,32.41,33.25,32.94,32.38,27.15,25.86,27.12,24.58,25.44,25.15,25.23,23.62,24.13,23.94,23.04,23.02,Upgrade
Revenue Growth (YoY),8.60%,22.07%,11.22%,9.69%,4.38%,-2.07%,24.75%,30.68%,22.75%,11.69%,-1.39%,2.46%,1.38%,14.93%,29.24%,24.96%,28.26%,31.85%,12.35%,8.90%,7.22%,-2.55%,-0.01%,-0.36%,19.38%,28.55%,21.49%,31.73%,6.72%,2.84%,7.48%,4.04%,5.45%,5.05%,9.52%,2.61%,10.75%,9.20%,5.13%,9.16%,Upgrade
Gross Profit,62.88,65.55,65.45,64.48,57.9,53.7,58.84,58.78,55.47,54.83,47.17,44.98,45.19,49.09,47.83,43.9,44.57,42.72,37.01,35.13,34.75,32.4,32.94,32.26,32.41,33.25,32.94,32.38,27.15,25.86,27.12,24.58,25.44,25.15,25.23,23.62,24.13,23.94,23.04,23.02,Upgrade
"Selling, General & Admin",28.4,26.78,25.84,26.76,30.4,23.11,22.98,22.42,24.1,22.91,22.35,21.33,23.14,22.96,23.71,19.44,20.46,21.65,16.52,16.76,16.11,15.99,15.81,15.23,15.21,15.43,14.26,13.81,15.35,11.76,13.74,11.07,11.62,11.1,10.83,10.68,11.42,11.09,10.53,10.23,Upgrade
Other Operating Expenses,9.22,8.83,8.88,8.95,17.76,8.16,9.46,6.61,7.16,6.38,7.07,6.76,7.19,6.87,8.25,6.18,6.3,8.16,5.06,4.94,4.35,4.01,3.96,3.77,3.83,3.93,4.39,4.53,4.89,3.46,3.22,3.25,3.22,3.3,3.25,3.46,3.67,3.51,3.06,3.03,Upgrade
Operating Expenses,37.62,35.61,34.72,35.7,48.16,31.27,32.44,29.04,31.26,29.29,29.42,28.09,30.33,29.82,31.96,25.62,26.76,29.81,21.58,21.71,20.46,20,19.77,19,19.04,19.36,18.65,18.34,20.24,15.21,16.97,14.32,14.83,14.4,14.08,14.14,15.09,14.6,13.58,13.26,Upgrade
Operating Income,25.26,29.94,30.73,28.78,9.74,22.43,26.4,29.75,24.21,25.54,17.75,16.89,14.86,19.27,15.87,18.28,17.82,12.9,15.44,13.42,14.3,12.4,13.17,13.26,13.38,13.89,14.29,14.04,6.91,10.65,10.15,10.26,10.61,10.75,11.15,9.48,9.04,9.34,9.45,9.76,Upgrade
Pretax Income,25.26,29.94,30.73,28.78,9.74,22.43,26.4,29.75,24.21,25.54,17.75,16.89,14.86,19.27,15.87,18.28,17.82,12.9,15.44,13.42,14.3,12.4,13.17,13.26,13.38,13.89,14.29,14.04,6.91,10.65,10.15,10.26,10.61,10.75,11.15,9.48,9.04,9.34,9.45,9.76,Upgrade
Income Tax,4.45,5.52,6.13,5.03,0.67,3.16,4.91,5.92,4.65,4.65,3.15,2.64,2.39,3.45,2.81,3.01,2.75,1.92,2.8,2.33,2.48,0.78,3.51,3.43,3.82,3.83,4.11,4.25,1.77,2.94,2.43,2.94,3.3,3.1,3.44,2.8,2.73,2.75,2.97,3.23,Upgrade
Net Income,20.81,24.42,24.6,23.75,9.07,19.27,21.49,23.82,19.56,20.89,14.59,14.26,12.47,15.82,13.06,15.27,15.07,10.98,12.64,11.1,11.81,11.62,9.66,9.84,9.56,10.07,10.19,9.79,5.15,7.71,7.72,7.33,7.31,7.64,7.71,6.69,6.31,6.59,6.48,6.53,Upgrade
Net Income Growth,129.48%,26.69%,14.47%,-0.31%,-53.64%,-7.75%,47.23%,67.11%,56.81%,32.05%,11.70%,-6.65%,-17.22%,44.08%,3.36%,37.61%,27.55%,-5.52%,30.84%,12.79%,23.62%,15.46%,-5.15%,0.52%,85.70%,30.51%,31.91%,33.62%,-29.56%,0.89%,0.17%,9.54%,15.88%,16.01%,18.90%,2.37%,8.54%,6.38%,3.04%,9.47%,Upgrade
Shares Outstanding (Basic),29,29,29,29,29,27,27,27,27,26,26,27,27,27,27,25,25,25,23,23,23,23,23,23,23,23,23,23,23,20,20,20,20,20,20,20,20,20,19,19,Upgrade
Shares Change,0.24%,11.07%,11.07%,11.07%,11.02%,0.20%,0.18%,0.17%,-0.63%,-0.64%,-0.61%,6.04%,6.82%,6.82%,16.08%,8.82%,8.87%,8.85%,0.17%,0.17%,0.18%,0.19%,0.19%,0.21%,0.26%,14.93%,15.07%,15.09%,15.17%,0.49%,0.37%,0.33%,0.32%,0.31%,4.29%,4.30%,4.25%,4.27%,0.30%,0.31%,Upgrade
