Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.72,1.14,0.46,0.4,0.93,1.17,0.35,0.08,0,0
Other Operating Expenses,0.05,0.05,0.05,0.01,0.06,0.06,0.06,0.02,0,0
Operating Expenses,0.77,1.19,0.51,0.41,0.99,1.23,0.41,0.1,0,0
Operating Income,-0.77,-1.19,-0.51,-0.41,-0.99,-1.23,-0.41,-0.1,-0,0
Other Expense / Income,0.43,-0.48,-1.52,-3.83,-1.72,-0.17,-0.85,1.72,-,-
Pretax Income,-1.2,-0.71,1.01,3.41,0.73,-1.06,0.44,-1.82,-0,0
Income Tax,-0.03,0.1,0.04,0,0,0,0,0,0,0
Net Income,-1.17,-0.81,0.97,3.41,0.73,-1.06,0.44,-1.82,-0,0
Net Income Growth,-,-,120.56%,-,-,-,-,-,-,-
Shares Outstanding (Basic),24,27,29,31,26,32,32,10,6,6
Shares Change,-8.50%,-13.65%,-9.06%,203.98%,381.09%,478.00%,-,-,-,-
EPS (Basic),-0.02,-0.03,0.03,0.11,0.04,-0.03,0.01,-0.18,-,-
EPS (Diluted),-0.02,-0.03,0.03,0.11,0.04,-0.03,0.01,-0.18,-,-
EPS Growth,-,-,200.00%,-,-,-,-,-,-,-
Effective Tax Rate,-,-,4.00%,-,-,-,-,-,-,-
EBITDA,-1.2,-0.71,1.01,3.41,0.73,-1.06,0.44,-1.82,-0,0
EBIT,-1.2,-0.71,1.01,3.41,0.73,-1.06,0.44,-1.82,-0,0
