Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,+68 Quarters
Revenue,179.39,177.43,176.31,171.36,164.51,157.74,152.62,145.51,141.51,136.03,129.6,147.02,148.09,146.97,150.14,151.08,146.08,148.18,150.4,143.57,140.73,136.43,137.61,133.61,128.4,128.22,128.46,128.29,123.89,124.46,126.94,122.2,122.35,123.71,124.36,120.25,121.1,119.36,118.11,111.96,Upgrade
Revenue Growth (YoY),9.04%,12.48%,15.52%,17.76%,16.26%,15.96%,17.76%,-1.03%,-4.45%,-7.45%,-13.68%,-2.69%,1.38%,-0.81%,-0.17%,5.23%,3.80%,8.61%,9.29%,7.46%,9.60%,6.40%,7.13%,4.14%,3.64%,3.02%,1.20%,4.99%,1.26%,0.60%,2.07%,1.62%,1.04%,3.65%,5.29%,7.40%,12.87%,13.18%,12.91%,7.21%,Upgrade
Cost of Revenue,139.04,141.33,136.44,128.31,129.32,121.08,115.41,109.79,110.61,105.53,103.09,116.33,118.84,114.13,117.01,118.47,116.73,116.69,119.05,116.42,115.17,110.68,108.83,105.88,102.83,102.31,102.88,101.85,98.66,97.78,100.76,99.52,98.22,98.25,96.66,93.71,93.39,92.04,91.2,88.05,Upgrade
Gross Profit,40.35,36.09,39.87,43.05,35.19,36.66,37.21,35.72,30.89,30.5,26.51,30.69,29.25,32.84,33.13,32.61,29.35,31.49,31.35,27.15,25.57,25.75,28.78,27.72,25.58,25.91,25.58,26.45,25.23,26.68,26.18,22.67,24.13,25.47,27.7,26.54,27.71,27.32,26.92,23.91,Upgrade
"Selling, General & Admin",18.13,17.55,18.67,16.79,17.51,16.66,16.65,16.37,16.94,15.56,15.59,15.87,17,16.59,15.75,16.46,15.8,15.09,15.94,15.56,15.5,13.67,14.63,15,14.13,14.64,13.46,15.81,14.5,13.21,14.96,13.62,13.83,12.75,14.21,13.7,13.2,12.22,12.84,11.9,Upgrade
Operating Expenses,18.13,17.55,18.67,16.79,17.51,16.66,16.65,16.37,16.94,15.56,15.59,15.87,17,16.59,15.75,16.46,15.8,15.09,15.94,15.56,15.5,13.67,14.63,15,14.13,14.64,13.46,15.81,14.5,13.21,14.96,13.62,13.83,12.75,14.21,13.7,13.2,12.22,12.84,11.9,Upgrade
Operating Income,22.22,18.55,21.2,26.26,17.68,20,20.57,19.35,13.96,14.94,10.92,14.83,12.25,16.25,17.38,16.15,13.55,16.4,15.42,11.59,10.07,12.08,14.15,12.72,11.44,11.27,12.12,10.63,10.73,13.48,11.22,9.06,10.29,12.72,13.5,12.83,14.5,15.1,14.08,12.01,Upgrade
Pretax Income,22.22,18.55,21.2,26.26,17.68,20,20.57,19.35,13.96,14.94,10.92,14.83,12.25,16.25,17.38,16.15,13.55,16.4,15.42,11.59,10.07,12.08,14.15,12.72,11.44,11.27,12.12,10.63,10.73,13.48,11.22,9.06,10.29,12.72,13.5,12.83,14.5,15.1,14.08,12.01,Upgrade
Income Tax,5.37,3.89,4.51,6.62,3.82,3.93,3.73,4.54,2.58,3.08,2.62,3.08,2.9,3.38,3.98,4.31,3.25,3.61,3.64,2.64,0.5,3.69,5.38,4.73,4.39,4.32,4.63,3.97,4.04,5.21,4.32,3.48,3.46,4.84,5.2,4.5,5.73,6.42,5.47,4.43,Upgrade
Net Income,16.85,14.66,16.69,19.64,13.86,16.07,16.84,14.81,11.38,11.87,8.3,11.75,9.35,12.87,13.41,11.84,10.3,12.79,11.78,8.96,9.57,8.39,8.78,7.99,7.05,6.95,7.49,6.67,6.69,8.27,6.9,5.58,6.83,7.88,8.3,8.33,8.78,8.68,8.61,7.58,Upgrade
