Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.25,0.26,0.27,0.42,2.68,0.01,0
Operating Expenses,0.25,0.26,0.27,0.42,2.68,0.01,0
Operating Income,-0.25,-0.26,-0.27,-0.42,-2.68,-0.01,0
Other Expense / Income,-3.37,-0.75,-1.75,-8.13,-13.41,-,-
Pretax Income,3.12,0.49,1.48,7.7,10.73,-0.01,0
Net Income,3.12,0.49,1.48,7.7,10.73,-0.01,0
Net Income Growth,-70.94%,-,-,-,-,-,-
Shares Outstanding (Basic),23,27,27,27,8,5,6
Shares Outstanding (Diluted),23,27,27,27,8,5,6
Shares Change,182.84%,439.06%,331.25%,-,-,-,-
EPS (Basic),0.13,0.02,0.05,0.28,1.32,-,-
EPS (Diluted),0.13,0.02,0.05,0.28,1.32,-,-
EPS Growth,-90.15%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.05,-,-,-
EBITDA,3.12,0.49,1.48,7.7,-,-0.01,0
EBIT,3.12,0.49,1.48,7.7,10.73,-0.01,0
