Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.57,0.58,0.59,0.57,0.66,0,0,0
Operating Expenses,0.57,0.58,0.59,0.57,0.66,0,0,0
Operating Income,-0.57,-0.58,-0.59,-0.57,-0.66,-0,0,-0
Other Expense / Income,-3.81,-3.54,-4.48,-6.71,-3.19,-,-,-
Pretax Income,3.23,2.96,3.89,6.14,2.53,-0,0,-0
Income Tax,0.6,0.3,0.02,0,0,0,0,0
Net Income,2.63,2.66,3.87,6.14,2.53,-0,0,-0
Net Income Growth,4.23%,-,-,-,-,-,-,-
Shares Outstanding (Basic),45,45,45,45,19,10,10,20
Shares Outstanding (Diluted),45,45,45,45,19,10,10,20
Shares Change,139.82%,354.57%,354.57%,127.29%,-,-,-,-
EPS (Basic),0.06,0.06,0.09,0.14,0.13,-,-,-
EPS (Diluted),0.06,0.06,0.09,0.14,0.13,-,-,-
EPS Growth,-53.85%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.04,0.02,-0.01,-0.06,-,-,-
Effective Tax Rate,18.55%,10.14%,0.51%,-,-,-,-,-
EBITDA,3.23,2.96,3.89,6.14,2.53,-0,0,-0
EBIT,3.23,2.96,3.89,6.14,2.53,-0,0,-0
