Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,93.52,93.93,96.85,95.53,94.13,75.46,75.42,78.19,75.91,71.97,70.07,59.52,62.87,66.14,70.04,70.35,66.94,65.22,66.93,67.81,70,64.05,54,51.79,43.38,40.77,35.51,37.74,34.94,35.82,35.31,33.77,34.4,33.94,34.47,35.12,32.26,32.67,34.36,34.5,Upgrade
Revenue Growth (YoY),-0.65%,24.48%,28.42%,22.18%,24.01%,4.85%,7.64%,31.38%,20.73%,8.81%,0.04%,-15.40%,-6.07%,1.41%,4.65%,3.74%,-4.37%,1.84%,23.94%,30.94%,61.35%,57.11%,52.07%,37.24%,24.16%,13.80%,0.58%,11.76%,1.58%,5.55%,2.44%,-3.85%,6.63%,3.90%,0.32%,1.80%,15.70%,-,13.75%,22.10%,Upgrade
Gross Profit,93.52,93.93,96.85,95.53,94.13,75.46,75.42,78.19,75.91,71.97,70.07,59.52,62.87,66.14,70.04,70.35,66.94,65.22,66.93,67.81,70,64.05,54,51.79,43.38,40.77,35.51,37.74,34.94,35.82,35.31,33.77,34.4,33.94,34.47,35.12,32.26,32.67,34.36,34.5,Upgrade
"Selling, General & Admin",40.78,34.44,33.42,34.75,33.72,32.78,28.84,28.99,28.65,29.62,29.95,28.2,28.76,28.39,27.99,28.06,27.68,27,27.01,26.31,28.06,27.78,23.67,24.06,21.1,20.43,18.95,17.9,16.99,17.43,17.32,16.64,16.51,16.06,17.14,16.48,16.77,17.17,16.6,16.41,Upgrade
Other Operating Expenses,33.39,11.59,15.28,14.95,17.75,29.98,11.98,12.17,11.25,12,10.4,10.67,11.16,11.46,10.18,11.64,10.85,7.76,12.02,12.32,15.43,15.63,10.72,11.02,10.97,7.76,8.77,8.25,7.78,8.07,7.29,7.66,7.21,6.93,8.79,8.3,6.78,6.76,7.11,9.34,Upgrade
Operating Expenses,74.18,46.03,48.7,49.69,51.47,62.77,40.82,41.16,39.91,41.62,40.35,38.87,39.92,39.85,38.17,39.7,38.53,34.76,39.03,38.63,43.49,43.41,34.38,35.08,32.07,28.18,27.72,26.15,24.77,25.5,24.61,24.3,23.71,22.99,25.93,24.78,23.55,23.94,23.7,25.76,Upgrade
Operating Income,19.35,47.9,48.15,45.84,42.66,12.69,34.6,37.04,36,30.35,29.72,20.65,22.96,26.29,31.87,30.65,28.41,30.46,27.9,29.18,26.51,20.64,19.62,16.71,11.31,12.58,7.79,11.59,10.17,10.32,10.69,9.47,10.68,10.95,8.54,10.34,8.71,8.73,10.65,8.74,Upgrade
Other Expense / Income,-,-0.37,-,-0.29,-,0.02,-,-0.17,0.16,0.26,0.09,0.04,0.16,0.04,0.27,0.38,0.25,0.57,-,-,-,0.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,19.35,48.27,48.15,46.14,42.66,12.67,34.6,37.21,35.84,30.09,29.63,20.62,22.8,26.25,31.59,30.27,28.17,29.89,27.9,29.18,26.51,20.11,19.62,16.71,11.31,12.58,7.79,11.59,10.17,10.32,10.69,9.47,10.68,10.95,8.54,10.34,8.71,8.73,10.65,8.74,Upgrade
Income Tax,4.18,9.84,10.2,9.55,8.7,2.15,6.96,7.92,7.65,6.44,6.33,4.27,4.62,5.37,6.57,6.41,5.88,6,5.91,6.45,5.84,5.93,6.53,5.55,3.76,4.23,3.12,3.95,3.33,3.52,3.69,3.22,3.69,3.86,2.96,3.69,3.03,3.05,4.32,3.15,Upgrade
