Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+42 Quarters
Dividend Per Share,0.570,0.550,0.550,0.550,0.550,1.700,0.450,0.450,0.450,1.390,0.390,0.390,0.390,2.360,0.360,0.360,0.360,2.830,0.330,0.330,0.330,1.280,0.280,0.280,0.280,0.760,0.260,0.260,0.260,0.750,0.250,0.406,0.250,0.220,0.220,0.220,0.220,1.200,0.200,0.200,Upgrade
Dividend Growth,3.64%,-67.65%,22.22%,22.22%,22.22%,22.30%,15.38%,15.38%,15.38%,-41.10%,8.33%,8.33%,8.33%,-16.61%,9.09%,9.09%,9.09%,121.09%,17.86%,17.86%,17.86%,68.42%,7.69%,7.69%,7.69%,1.33%,4.00%,-35.96%,4.00%,240.91%,13.64%,84.55%,13.64%,-81.67%,10.00%,10.00%,10.00%,-28.57%,-43.18%,11.11%,Upgrade
Gross Margin,88.72%,88.57%,88.27%,87.63%,77.98%,87.08%,87.09%,86.94%,86.87%,36.61%,86.83%,86.70%,86.67%,86.92%,86.53%,86.06%,86.70%,87.70%,86.57%,86.82%,86.41%,86.31%,86.60%,85.34%,85.33%,74.11%,88.25%,88.69%,89.08%,89.01%,89.23%,88.59%,88.96%,89.17%,88.81%,88.20%,88.60%,88.93%,88.70%,87.56%,Upgrade
Operating Margin,35.61%,37.32%,40.86%,41.37%,33.07%,50.43%,44.25%,41.38%,41.30%,-10.23%,38.96%,37.51%,26.81%,42.30%,38.23%,37.43%,37.61%,36.54%,39.89%,38.44%,39.40%,41.11%,42.33%,40.29%,39.59%,39.38%,39.43%,39.52%,35.53%,37.16%,39.51%,37.33%,41.22%,39.53%,39.99%,37.84%,38.64%,36.78%,38.49%,37.75%,Upgrade
Profit Margin,28.01%,25.93%,31.85%,35.24%,27.25%,40.39%,33.39%,32.29%,38.85%,-3.79%,28.70%,30.31%,19.44%,33.44%,32.41%,30.78%,34.54%,27.22%,31.31%,31.73%,29.20%,20.51%,25.91%,25.32%,25.61%,28.74%,25.30%,28.72%,22.69%,15.16%,15.49%,22.77%,24.84%,19.18%,22.49%,28.29%,26.70%,26.44%,24.70%,19.64%,Upgrade
Free Cash Flow Margin,-15.51%,45.29%,36.46%,38.53%,-69.48%,44.55%,51.85%,55.91%,6.75%,1.25%,27.99%,64.23%,-5.97%,61.10%,25.97%,73.50%,-32.36%,34.41%,33.06%,36.32%,-31.73%,53.10%,32.35%,-22.27%,-2.74%,56.42%,29.61%,34.08%,-4.99%,25.29%,39.35%,41.95%,0.41%,42.32%,16.52%,1.88%,-1.10%,44.79%,54.03%,31.64%,Upgrade
Effective Tax Rate,22.47%,28.12%,25.92%,15.93%,18.06%,21.26%,26.00%,25.36%,8.37%,-,28.20%,27.99%,2.18%,21.15%,23.33%,24.18%,24.16%,18.19%,25.50%,24.91%,22.69%,52.91%,41.18%,38.38%,35.79%,29.78%,38.17%,35.54%,38.00%,50.12%,48.33%,39.08%,37.00%,44.60%,37.12%,34.60%,36.50%,38.00%,38.00%,39.24%,Upgrade
EBITDA,50.76,50.28,64.31,65.89,55.33,85.88,73.55,66.39,57.4,-3.42,45.72,44.12,24.66,50.64,48.07,44.98,46.52,34.83,44.98,43.72,38.46,51.96,43.76,39.12,36.91,35.92,40.62,40.18,31.06,26.34,25.42,32.79,34.61,29.96,30.4,36.01,31.88,35.82,30.91,26.49,Upgrade
EBITDA Margin,40.26%,40.12%,45.95%,44.69%,35.88%,53.80%,47.70%,46.02%,45.65%,-2.94%,41.13%,46.89%,23.30%,46.10%,45.79%,44.19%,49.37%,37.09%,45.75%,46.31%,40.71%,52.25%,45.21%,42.19%,41.13%,39.44%,43.03%,46.52%,38.98%,32.26%,31.91%,39.27%,41.29%,36.60%,37.60%,45.92%,43.78%,48.78%,41.76%,34.05%,Upgrade
Depreciation & Amortization,5.21,5.07,4.15,4.09,4.05,3.99,3.98,3.98,4.09,6.84,1.29,4.51,3.63,4.06,3.7,3.66,3.61,3.59,3.66,3.82,2.78,8.64,1.11,1.02,1.11,-1.35,2,1.69,1.9,1.51,1.55,1.59,1.57,1.62,1.48,2.09,1.26,4.51,1.42,1.34,Upgrade
EBIT,45.55,45.21,60.16,61.8,51.28,81.89,69.57,62.41,53.31,-10.27,44.44,39.61,21.03,46.58,44.37,41.32,42.91,31.24,41.33,39.9,35.68,43.32,42.64,38.09,35.8,37.26,38.62,38.48,29.17,24.83,23.88,31.21,33.04,28.33,28.92,33.92,30.62,31.31,29.49,25.15,Upgrade
EBIT Margin,36.12%,36.07%,42.99%,41.92%,33.26%,51.30%,45.12%,43.26%,42.40%,-8.82%,39.98%,42.10%,19.87%,42.41%,42.27%,40.60%,45.54%,33.27%,42.03%,42.26%,37.77%,43.56%,44.06%,41.09%,39.89%,40.92%,40.91%,44.56%,36.60%,30.40%,29.97%,37.37%,39.42%,34.62%,35.77%,43.25%,42.04%,42.64%,39.83%,32.33%,Upgrade
