Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Revenue,121.51,128.49,130.88,130.75,125.54,127.65,133.51,126.83,125.7,134.28,118.79,117.45,99.78,101.72,100.86,98.99,92.99,93.27,95.03,91.99,88.56,81.76,82.53,80.53,76.36,76.27,75.05,75.93,74.52,73.1,73.88,68.59,65.71,66.35,65.31,62.97,61.89,61.31,61.22,55.82,Upgrade
Revenue Growth (YoY),-3.21%,0.66%,-1.97%,3.09%,-0.12%,-4.94%,12.39%,7.98%,25.97%,32.01%,17.78%,18.65%,7.31%,9.06%,6.13%,7.61%,5.00%,14.09%,15.14%,14.24%,15.99%,7.20%,9.98%,6.06%,2.47%,4.32%,1.58%,10.70%,13.41%,10.18%,13.12%,8.94%,6.17%,8.22%,6.69%,12.80%,18.49%,15.55%,13.72%,8.90%,Upgrade
Gross Profit,121.51,128.49,130.88,130.75,125.54,127.65,133.51,126.83,125.7,134.28,118.79,117.45,99.78,101.72,100.86,98.99,92.99,93.27,95.03,91.99,88.56,81.76,82.53,80.53,76.36,76.27,75.05,75.93,74.52,73.1,73.88,68.59,65.71,66.35,65.31,62.97,61.89,61.31,61.22,55.82,Upgrade
"Selling, General & Admin",40.09,40.97,42.55,41.48,42.39,43.75,45.67,43.35,42.71,48.71,41.85,38.96,37.9,37.29,35.99,34.99,34.84,33.69,34.47,35.75,35.5,29.33,32.63,32.46,31.55,31.27,31.44,30.23,30.67,29.88,29.55,26.19,25.02,24.53,24.84,23.73,24.13,23.83,24.05,22.12,Upgrade
Other Operating Expenses,17.16,16.81,16.9,16.86,16.84,17.92,17.27,16.03,15.02,15,13.74,14.37,17.41,14.65,12.92,13.31,12.53,14.54,13.04,11.4,12.3,14.76,11.33,11.31,10.6,10.73,10.56,10.53,10.41,10.46,10.42,9.02,8.92,11.9,9.2,11.27,8.32,9.26,11.48,7.79,Upgrade
Operating Expenses,57.26,57.78,59.44,58.33,59.23,61.67,62.94,59.37,57.72,63.71,55.59,53.32,55.32,51.94,48.91,48.3,47.37,48.24,47.51,47.14,47.8,44.1,43.96,43.78,42.15,41.99,42,40.76,41.08,40.34,39.97,35.2,33.94,36.44,34.04,35,32.45,33.1,35.53,29.91,Upgrade
Operating Income,64.26,70.71,71.44,72.42,66.31,65.98,70.57,67.45,67.97,70.57,63.19,64.13,44.47,49.78,51.95,50.69,45.62,45.04,47.53,44.85,40.76,37.66,38.57,36.76,34.2,34.28,33.04,35.18,33.44,32.76,33.91,33.39,31.76,29.92,31.27,27.96,29.44,28.22,25.68,25.91,Upgrade
Pretax Income,64.26,70.71,71.44,72.42,66.31,65.98,70.57,67.45,67.97,70.57,63.19,64.13,44.47,49.78,51.95,50.69,45.62,45.04,47.53,44.85,40.76,37.66,38.57,36.76,34.2,34.28,33.04,35.18,33.44,32.76,33.91,33.39,31.76,29.92,31.27,27.96,29.44,28.22,25.68,25.91,Upgrade
Income Tax,11.69,12.04,12.1,11.92,10.34,10.64,11.64,11.08,11.05,12.1,10.34,10.66,7.23,8.39,8.87,8.59,7.37,6.6,7.48,7.22,6.25,1.52,9.2,8.5,7.61,7.61,7.44,8.37,7.74,7.57,8.02,8.08,7.77,7.33,7.84,6.76,7.1,6.98,6.12,6.42,Upgrade
Net Income,52.57,58.67,59.34,60.49,55.97,55.34,58.93,56.38,56.92,58.48,52.86,53.47,37.23,41.39,43.08,42.09,38.25,38.44,40.05,37.63,34.52,36.14,29.37,28.26,26.6,26.67,25.6,26.81,25.7,25.19,25.89,25.31,24,22.59,23.43,21.21,22.34,21.24,19.56,19.49,Upgrade
