Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",2.52,-0.3,0.34,0.43,0.63,-0,0.01
Operating Expenses,2.52,-0.3,0.34,0.43,0.63,-0,0.01
Operating Income,-2.52,0.3,-0.34,-0.43,-0.63,0,-0.01
Other Expense / Income,-4.46,-1.62,-2.1,-4.1,-9.98,0.01,-
Pretax Income,1.94,1.92,1.76,3.67,9.35,-0,-0.01
Net Income,1.94,1.92,1.76,3.67,9.35,-0,-0.01
Net Income Growth,-79.27%,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,29,11,5,5
Shares Outstanding (Diluted),29,29,29,29,12,5,5
Shares Change,147.97%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.06,0.07,0.06,0.13,0.84,-,-
EPS (Diluted),0.06,0.07,0.06,0.13,0.81,-,-
EPS Growth,-92.59%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.06,-,-0.00
EBITDA,1.94,1.92,1.76,3.67,9.35,-0,-0.01
EBIT,1.94,1.92,1.76,3.67,9.35,-0,-0.01
