Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,41.99,44.51,43.3,37.54,39.1,40.61,38.93,40,38.36,36.79,36.28,33.86,27.95,34.27,32.55,31.86,32.32,29.33,30.39,30.65,28.21,30.36,27.35,27.19,26.86,25.82,24.38,24.6,23.44,23.61,22.89,21.64,21.85,22.69,20.87,20.52,20.19,19.27,19.22,19.15,Upgrade
Revenue Growth (YoY),7.40%,9.62%,11.24%,-6.14%,1.94%,10.37%,7.30%,18.13%,37.24%,7.37%,11.48%,6.27%,-13.53%,16.83%,7.11%,3.95%,14.59%,-3.40%,11.09%,12.71%,5.03%,17.60%,12.20%,10.53%,14.58%,9.36%,6.49%,13.71%,7.25%,4.05%,9.71%,5.46%,8.23%,17.78%,8.58%,7.16%,8.13%,3.65%,7.77%,10.59%,Upgrade
Gross Profit,41.99,44.51,43.3,37.54,39.1,40.61,38.93,40,38.36,36.79,36.28,33.86,27.95,34.27,32.55,31.86,32.32,29.33,30.39,30.65,28.21,30.36,27.35,27.19,26.86,25.82,24.38,24.6,23.44,23.61,22.89,21.64,21.85,22.69,20.87,20.52,20.19,19.27,19.22,19.15,Upgrade
"Selling, General & Admin",25.27,25.71,25.14,24.49,23.44,23.97,23.47,23,21.96,21.31,20.52,22.14,20.68,20.39,19.47,19.41,18.77,18.32,17.91,18.74,17.28,17.01,17,16.7,17.43,16.33,15.63,15.8,15.09,14.81,14.89,14.67,14.31,14.63,13.58,13.77,13.23,12.42,12.23,12.95,Upgrade
Other Operating Expenses,2.77,2.46,2.4,2.37,2.32,2.56,2.3,2.16,2.01,2.17,2.25,2.19,2,2.32,1.63,2.35,2.08,2.32,2.07,2.07,2.17,2.13,1.84,2.06,1.99,2.17,1.79,1.74,1.78,1.9,1.66,1.6,1.91,2.02,1.54,1.67,1.59,1.7,1.55,1.51,Upgrade
Operating Expenses,28.04,28.17,27.54,26.85,25.76,26.53,25.77,25.16,23.97,23.48,22.77,24.33,22.68,22.71,21.1,21.75,20.85,20.65,19.98,20.81,19.45,19.14,18.83,18.75,19.42,18.5,17.41,17.54,16.87,16.71,16.55,16.27,16.21,16.65,15.12,15.45,14.83,14.13,13.78,14.46,Upgrade
Operating Income,13.95,16.35,15.77,10.69,13.34,14.08,13.16,14.84,14.38,13.32,13.51,9.53,5.27,11.55,11.45,10.11,11.47,8.68,10.41,9.84,8.76,11.23,8.52,8.44,7.44,7.32,6.97,7.06,6.57,6.9,6.35,5.37,5.64,6.05,5.75,5.07,5.37,5.14,5.44,4.69,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,0.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,13.95,16.35,15.77,10.69,13.34,14.08,13.16,14.84,13.67,13.32,13.51,9.53,5.27,11.55,11.45,10.11,11.47,8.68,10.41,9.84,8.76,11.23,8.52,8.44,7.44,7.32,6.97,7.06,6.57,6.9,6.35,5.37,5.64,6.05,5.75,5.07,5.37,5.14,5.44,4.69,Upgrade
Income Tax,3.18,4.04,3.81,2.53,3.05,3.24,3.33,3.7,3.32,3.46,3.19,2.28,1.25,2.82,2.45,2.35,2.77,2.18,2.43,2.27,1.93,8.51,3.01,2.85,1.86,2.36,2.25,2.29,2.26,2.18,2.05,1.86,2.02,2.05,1.92,1.76,1.86,1.65,1.9,1.61,Upgrade
