Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Revenue,1.07,1.19,1.05,0.65
"Selling, General & Admin",0.99,0.32,0.27,0.23
Pretax Income,-0.06,0.73,0.57,0.32
Income Tax,-0.03,0.22,0.16,0.04
Net Income,-0.04,0.52,0.41,0.27
Shares Outstanding (Basic),6,5,5,-
Shares Outstanding (Diluted),6,5,5,-
EPS (Basic),-0.01,0.11,0.09,-
EPS (Diluted),-0.01,0.11,0.09,-
Free Cash Flow Per Share,-0.55,0.79,-1.50,-
Profit Margin,-3.38%,43.58%,39.25%,42.16%
Free Cash Flow Margin,-285.25%,320.39%,-684.78%,-89.39%
Effective Tax Rate,-,29.45%,27.84%,13.79%
