Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.28,0.58,0.09,0.15,0.13,0
Other Operating Expenses,0,0.05,0.05,0.05,0,0
Operating Expenses,0.29,0.63,0.14,0.2,0.13,0
Operating Income,-0.29,-0.63,-0.14,-0.2,-0.13,-0
Other Expense / Income,-1.02,-0.6,-0.13,-0.05,-0.02,-
Pretax Income,0.73,-0.03,-0.01,-0.15,-0.12,-0
Income Tax,0.21,0.1,0,0,0,0
Net Income,0.52,-0.13,-0.01,-0.15,-0.12,-0
Shares Outstanding (Basic),3,3,3,3,3,3
Shares Outstanding (Diluted),15,15,15,3,4,3
Shares Change,293.85%,497.80%,-,-,-,-
EPS (Basic),0.06,-0.01,-,-0.01,16.15,-
EPS (Diluted),0.06,-0.01,-,-0.01,16.15,-
EPS Growth,-99.63%,-,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.06,-0.04,-0.06,-0.11,-
Effective Tax Rate,28.92%,-,-,-,-,-
EBITDA,0.73,-0.03,-0.01,-0.15,-0.12,-
EBIT,0.73,-0.03,-0.01,-0.15,-0.12,-0
