Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+82 Quarters
Revenue,"52,857","52,747","50,122","51,865","49,360","51,728","45,317","46,152","41,706","43,076","37,154","38,033","35,021","36,906","33,055","33,717","30,571","32,471","29,084","30,085","26,819","28,918","24,538","25,605","23,212","25,826","21,928","26,448","20,531","23,796","20,379","22,180","21,729","26,470","23,201","23,382","20,403","24,519","18,529","19,896",Upgrade
Revenue Growth (YoY),7.08%,1.97%,10.60%,12.38%,18.35%,20.09%,21.97%,21.35%,19.09%,16.72%,12.40%,12.80%,14.56%,13.66%,13.65%,12.07%,13.99%,12.29%,18.53%,17.50%,15.54%,11.97%,11.90%,-3.19%,13.06%,8.53%,7.60%,19.24%,-5.51%,-10.10%,-12.16%,-5.14%,6.50%,7.96%,25.21%,17.52%,-0.42%,14.28%,15.75%,10.17%,Upgrade
Cost of Revenue,"16,128","17,488","15,452","16,429","15,615","16,960","13,646","13,991","13,045","14,194","11,002","12,339","10,975","12,358","10,406","10,412","10,170","12,423","9,905","9,742","9,269","11,064","8,278","8,456","8,060","9,901","7,844","7,979","7,722","9,872","7,207","7,468","7,161","10,136","8,273","7,633","5,978","8,322","5,145","5,738",Upgrade
Gross Profit,"36,729","35,259","34,670","35,436","33,745","34,768","31,671","32,161","28,661","28,882","26,152","25,694","24,046","24,548","22,649","23,305","20,401","20,048","19,179","20,343","17,550","17,854","16,260","17,149","15,152","15,925","14,084","18,469","12,809","13,924","13,172","14,712","14,568","16,334","14,928","15,749","14,425","16,197","13,384","14,158",Upgrade
"Selling, General & Admin","7,393","8,016","6,524","8,053","7,075","6,763","5,834","7,379","6,409","6,086","5,350","7,073","6,184","6,054","5,398","6,387","5,744","5,720","5,247","6,031","5,543","5,671","4,978","5,647","5,074","4,958","4,263","5,237","4,546","4,998","4,417","5,233","4,800","5,412","4,879","6,017","4,708","5,480","4,283","5,302",Upgrade
Research & Development,"6,984","6,844","6,628","6,849","6,306","5,758","5,599","5,687","5,204","4,899","4,926","5,214","4,887","4,603","4,565","4,513","4,316","4,070","3,977","3,933","3,715","3,504","3,574","3,514","3,355","3,062","3,106","3,146","2,980","2,900","2,962","3,094","2,984","2,903","3,065","3,123","2,743","2,748","2,767","2,783",Upgrade
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,"1,110",0,0,0,"8,438",190,243,"1,140",127,0,0,0,0,Upgrade
Operating Expenses,"14,377","14,860","13,152","14,902","13,381","12,521","11,433","13,066","11,613","10,985","10,276","12,287","11,071","10,657","9,963","10,900","10,060","9,790","9,224","9,964","9,258","9,175","8,552","9,467","8,429","8,020","7,369","9,493","7,526","7,898","7,379","16,765","7,974","8,558","9,084","9,267","7,451","8,228","7,050","8,085",Upgrade
Operating Income,"22,352","20,399","21,518","20,534","20,364","22,247","20,238","19,095","17,048","17,897","15,876","13,407","12,975","13,891","12,686","12,405","10,341","10,258","9,955","10,379","8,292","8,679","7,708","7,682","6,723","7,905","6,715","8,976","5,283","6,026","5,793","-2,053","6,594","7,776","5,844","6,482","6,974","7,969","6,334","6,073",Upgrade
Interest Expense / Income,496,490,500,496,503,525,539,553,633,571,589,686,614,654,637,669,671,672,674,672,691,698,672,655,609,521,437,345,340,309,249,247,211,162,161,169,175,135,118,120,Upgrade
