Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",3.5,-0.44,0.72,0.42,1.86,-0,0.01
Operating Expenses,3.5,-0.44,0.72,0.42,1.86,-0,0.01
Operating Income,-3.5,0.44,-0.72,-0.42,-1.86,0,-0.01
Other Expense / Income,-5.68,-1.34,-6.17,-9.52,-14.03,0,-
Pretax Income,2.17,1.78,5.45,9.1,12.16,-0,-0.01
Net Income,2.17,1.78,5.45,9.1,12.16,-0,-0.01
Net Income Growth,-82.14%,-,-,-,-,-,-
Shares Outstanding (Basic),43,43,43,43,19,8,6
Shares Outstanding (Diluted),43,43,43,43,19,8,6
Shares Change,122.38%,475.00%,590.00%,-,-,-,-
EPS (Basic),0.05,0.04,0.13,0.21,0.63,-,-
EPS (Diluted),0.05,0.04,0.13,0.21,0.63,-,-
EPS Growth,-92.06%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.00,-0.04,-,-
EBITDA,2.17,1.78,5.45,9.1,12.16,-0,-0.01
EBIT,2.17,1.78,5.45,9.1,12.16,-0,-0.01
