Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.66,0.25,0.45,0.62,0.35,0.01,0
Operating Expenses,0.66,0.25,0.45,0.62,0.35,0.01,0
Operating Income,-0.66,-0.25,-0.45,-0.62,-0.35,-0.01,0
Other Expense / Income,-3.68,-3.85,-3.36,-2.45,-2.85,-,-
Pretax Income,3.01,3.6,2.91,1.83,2.5,-0.01,0
Net Income,3.01,3.6,2.91,1.83,2.5,-0.01,0
Net Income Growth,20.36%,-,-,-,-,-,-
Shares Outstanding (Basic),25,25,25,25,9,4,4
Shares Outstanding (Diluted),25,25,25,25,9,4,4
Shares Change,190.77%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.12,0.14,0.12,0.07,0.29,-,-
EPS (Diluted),0.12,0.14,0.12,0.07,0.29,-,-
EPS Growth,-58.62%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.02,-,-
EBITDA,3.01,3.6,2.91,1.83,2.5,-0.01,0
EBIT,3.01,3.6,2.91,1.83,2.5,-0.01,0
