Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31,2016-12-31
Net Income Growth,-19.62%,-14.14%,-26.39%,-20.53%,-33.07%,24.82%,-26.00%,1.92%,183.70%,33.02%,148.58%,37.45%,-16.67%,26.84%,-3.61%,-,-,-,-,-,-
Shares Outstanding (Basic),20,20,20,17,17,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,13
Shares Outstanding (Diluted),20,20,20,18,18,17,17,17,17,17,17,17,17,17,15,14,14,14,14,-,-
Shares Change,15.69%,15.81%,15.61%,0.20%,0.20%,0.19%,0.26%,0.30%,0.34%,0.15%,19.33%,23.72%,23.63%,23.80%,3.94%,3.27%,4.32%,-,-,-,-
EPS (Basic),0.41,0.54,0.48,0.53,0.58,0.73,0.75,0.67,0.87,0.59,1.01,0.66,0.31,0.43,0.49,0.60,0.47,0.44,0.53,-,-
EPS (Diluted),0.40,0.54,0.47,0.52,0.57,0.71,0.74,0.66,0.86,0.58,0.99,0.65,0.30,0.42,0.48,0.59,0.46,0.43,0.52,-,-
EPS Growth,-29.82%,-23.94%,-36.49%,-21.21%,-33.72%,22.41%,-25.25%,1.54%,186.67%,38.10%,106.25%,10.17%,-34.78%,-2.33%,-7.69%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,2.38,2.33,-1.59,2.04,1.81,1.92,1.71,3.18,-0.20,0.12,-0.17,-1.28,0.99,1.03,-0.84,-0.20,1.80,-,-,-
Dividend Per Share,0.180,0.180,0.180,0.180,0.160,0.160,0.160,0.160,0.150,0.150,0.150,0.150,0.150,0.150,0.140,-,-,-,-,-,-
Dividend Growth,12.50%,12.50%,12.50%,12.50%,6.67%,6.67%,6.67%,6.67%,0%,0%,7.14%,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,-
Operating Margin,21.70%,27.69%,22.70%,23.11%,25.56%,28.84%,28.95%,26.50%,31.59%,22.04%,36.69%,27.52%,15.62%,21.17%,20.18%,24.13%,20.16%,18.13%,21.35%,-,-
Profit Margin,16.93%,20.79%,17.39%,17.87%,19.91%,21.90%,22.08%,20.20%,24.18%,16.84%,27.80%,20.93%,12.32%,16.56%,15.19%,17.96%,15.33%,13.75%,16.88%,-,-
Free Cash Flow Margin,-0.99%,90.55%,84.09%,-53.05%,68.74%,53.84%,55.77%,50.67%,86.72%,-5.72%,3.29%,-5.17%,-50.21%,36.49%,31.43%,-24.90%,-6.59%,56.48%,-,-,-
Effective Tax Rate,21.98%,24.94%,23.41%,22.67%,22.09%,24.06%,23.72%,23.76%,23.45%,23.60%,24.23%,23.95%,21.13%,21.78%,24.71%,25.58%,23.92%,24.14%,20.93%,-,-
EBITDA,12.58,16.72,14.66,13.9,15.14,18.86,19.28,17.53,22.21,15.61,25.58,17.3,8.96,12.05,11.73,13.37,10.52,10.09,-,-,-
EBITDA Margin,26.01%,31.86%,26.50%,26.73%,29.60%,32.50%,32.59%,30.29%,35.31%,25.82%,40.26%,31.55%,20.59%,26.07%,25.07%,28.77%,25.06%,23.01%,-,-,-
Depreciation & Amortization,2.09,2.19,2.1,1.88,2.06,2.12,2.15,2.2,2.34,2.29,2.27,2.21,2.16,2.27,2.29,2.15,2.06,2.14,-,-,-
EBIT,10.49,14.53,12.56,12.02,13.07,16.73,17.13,15.34,19.88,13.32,23.31,15.09,6.8,9.78,9.44,11.22,8.46,7.95,9.32,-,-
EBIT Margin,21.70%,27.69%,22.70%,23.11%,25.56%,28.84%,28.95%,26.50%,31.59%,22.04%,36.69%,27.52%,15.62%,21.17%,20.18%,24.13%,20.16%,18.13%,21.35%,-,-
