Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+61 Quarters
Revenue,46.15,47.52,54.63,55.16,55.71,54.56,52.17,50.5,58.51,50.42,50.67,50.73,31.26,53.98,55.37,56.91,57.6,57.73,55.9,54.86,55.32,54.73,55.55,54.82,54.63,52.57,54.17,53.36,55.16,53.55,53.4,51.84,51.78,53.12,53.66,51.51,51.29,49.23,50.06,51.03,Upgrade
Revenue Growth (YoY),-17.15%,-12.90%,4.72%,9.23%,-4.80%,8.22%,2.96%,-0.45%,87.16%,-6.60%,-8.49%,-10.86%,-45.72%,-6.49%,-0.94%,3.73%,4.11%,5.47%,0.62%,0.06%,1.27%,4.10%,2.55%,2.75%,-0.97%,-1.82%,1.45%,2.94%,6.53%,0.81%,-0.47%,0.63%,0.95%,7.90%,7.18%,0.95%,2.05%,-3.78%,-3.13%,-2.38%,Upgrade
Gross Profit,46.15,47.52,54.63,55.16,55.71,54.56,52.17,50.5,58.51,50.42,50.67,50.73,31.26,53.98,55.37,56.91,57.6,57.73,55.9,54.86,55.32,54.73,55.55,54.82,54.63,52.57,54.17,53.36,55.16,53.55,53.4,51.84,51.78,53.12,53.66,51.51,51.29,49.23,50.06,51.03,Upgrade
"Selling, General & Admin",18.32,18.64,20.08,19.86,19.51,18.64,20.07,19.18,18.87,18.78,18.61,18.09,18.64,18.61,19.41,18.81,18.21,17.43,18.07,16.67,15.79,14.42,15.67,15.68,15.11,14.44,7.62,17.75,17.08,17.76,18.89,17.74,16.8,16.83,19.89,16.72,16.56,16.57,19.35,18.04,Upgrade
Other Operating Expenses,10.31,9.14,9.72,8.53,8.45,8.06,8.18,8.42,9.03,8.29,8.56,8.07,7.53,7.89,6.92,8.88,7.93,9.35,8.69,7.84,7.81,7.62,7.81,6.96,6.83,7.16,16.35,5.58,6.35,5.83,6.37,5.37,6.06,6.32,3.65,5.66,5.27,6.21,6.04,5.56,Upgrade
Operating Expenses,28.63,27.77,29.81,28.39,27.96,26.69,28.25,27.6,27.9,27.07,27.18,26.16,26.16,26.5,26.33,27.69,26.14,26.78,26.76,24.51,23.6,22.04,23.48,22.65,21.94,21.6,23.96,23.33,23.43,23.59,25.26,23.11,22.86,23.14,23.54,22.38,21.83,22.79,25.39,23.6,Upgrade
Operating Income,17.52,19.75,24.82,26.77,27.75,27.87,23.92,22.9,30.61,23.35,23.49,24.56,5.1,27.48,29.04,29.21,31.46,30.94,29.14,30.35,31.72,32.7,32.07,32.18,32.69,30.98,30.21,30.03,31.74,29.96,28.14,28.73,28.92,29.98,30.11,29.13,29.47,26.44,24.68,27.42,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,4.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,17.52,19.75,24.82,26.77,27.75,27.87,23.92,22.9,25.86,23.35,23.49,24.56,5.1,27.48,29.04,29.21,31.46,30.94,29.14,30.35,31.72,32.7,32.07,32.18,32.69,30.98,30.21,30.03,31.74,29.96,28.14,28.73,28.92,29.98,30.11,29.13,29.47,26.44,24.68,27.42,Upgrade
Income Tax,3.33,3.51,5.33,5.62,6.12,5.68,5.37,4.71,5.42,4.45,5.21,5.09,0.82,4.97,6.63,6.32,6.9,6.56,7.75,7.97,8.39,0.86,11.47,10.81,11.1,10.4,9.51,9.48,10.21,9.24,9.35,9.13,9.69,9.51,9.9,9.15,9.78,8.63,8.61,9.43,Upgrade
Net Income,14.19,16.24,19.49,21.15,21.62,22.19,18.55,18.19,20.44,18.9,18.28,19.47,4.28,22.51,22.41,22.9,24.55,24.38,21.39,22.37,23.33,31.84,20.6,21.37,21.59,20.58,20.7,20.55,21.53,20.72,18.79,19.6,19.23,20.47,20.21,19.98,19.69,17.81,16.07,18,Upgrade
Net Income Growth,-34.38%,-26.80%,5.06%,16.30%,5.77%,17.40%,1.50%,-6.61%,378.11%,-16.05%,-18.43%,-14.95%,-82.59%,-7.68%,4.77%,2.35%,5.25%,-23.41%,3.82%,4.69%,8.07%,54.71%,-0.46%,3.99%,0.28%,-0.68%,10.18%,4.84%,11.92%,1.20%,-7.05%,-1.91%,-2.31%,14.93%,25.79%,11.05%,11.14%,1.42%,-9.41%,-3.63%,Upgrade
Shares Outstanding (Basic),133,135,139,136,136,136,139,136,135,135,142,138,138,138,141,138,138,138,138,134,134,134,138,134,134,134,137,133,133,133,138,136,136,136,142,138,139,143,143,143,Upgrade
Shares Outstanding (Diluted),133,135,-,136,136,136,-,136,135,135,-,138,138,138,-,138,138,138,-,135,134,134,-,134,134,134,-,133,133,133,-,136,136,136,-,138,139,143,143,143,Upgrade
Shares Change,-1.86%,-0.73%,0.02%,0.14%,0.13%,0.17%,-1.90%,-1.80%,-1.81%,-1.87%,0.06%,0.17%,0.22%,0.28%,2.29%,2.42%,2.39%,2.32%,0.04%,0.13%,0.16%,0.39%,0.63%,0.83%,0.92%,0.78%,-0.78%,-1.85%,-2.36%,-2.35%,-2.55%,-1.86%,-2.33%,-4.74%,-0.56%,-3.44%,-4.05%,-3.38%,-5.42%,-8.73%,Upgrade
EPS (Basic),0.11,0.12,0.14,0.16,0.16,0.16,0.14,0.13,0.15,0.14,0.13,0.14,0.03,0.16,0.16,0.17,0.18,0.18,0.15,0.17,0.17,0.24,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.12,0.11,0.13,Upgrade
EPS (Diluted),0.11,0.12,0.14,0.16,0.16,0.16,0.14,0.13,0.15,0.14,0.13,0.14,0.03,0.16,0.16,0.17,0.18,0.18,0.15,0.17,0.17,0.24,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.12,0.11,0.13,Upgrade
EPS Growth,-31.25%,-25.00%,0%,23.08%,6.67%,14.29%,7.69%,-7.14%,400.00%,-12.50%,-18.75%,-17.65%,-83.33%,-11.11%,6.67%,0%,5.88%,-25.00%,-6.25%,6.25%,6.25%,60.00%,0%,6.67%,0%,-6.25%,6.67%,7.14%,14.29%,6.67%,0%,0%,0%,25.00%,36.36%,7.69%,16.67%,0%,-8.33%,8.33%,Upgrade
Free Cash Flow Per Share,0.07,0.10,0.24,0.18,0.11,0.14,0.16,0.12,0.07,0.13,0.13,0.20,0.07,0.17,0.16,0.14,0.11,0.09,0.21,0.15,0.16,0.31,0.19,0.12,0.07,0.19,0.14,0.12,0.10,0.16,0.14,0.12,0.09,0.19,0.16,0.16,0.12,0.16,0.13,0.18,Upgrade
Dividend Per Share,0.085,0.365,0.085,0.285,0.085,0.305,0.085,0.485,0.085,0.215,0.085,0.085,0.085,0.425,0.085,0.335,0.085,0.475,0.085,0.335,0.085,0.375,0.085,0.335,0.085,0.375,0.085,0.335,0.085,0.335,0.085,0.335,0.085,0.335,0.075,0.325,0.075,0.505,0.075,0.075,Upgrade
