Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,+69 Quarters
Revenue,146.5,151.23,157.59,166.33,148.57,137.83,129.66,146.28,130.95,124.44,123.87,163.02,147,141.57,138.44,157,137.64,127.12,122.79,141.4,125.7,118.93,116.64,103.66,130.81,129.27,127.08,144.14,139.7,136.41,137.22,167.4,148.7,148.18,145.93,143.54,160.49,149.96,145.27,141.76,Upgrade
Revenue Growth (YoY),-1.40%,9.72%,21.55%,13.71%,13.46%,10.76%,4.68%,-10.27%,-10.92%,-12.10%,-10.53%,3.83%,6.80%,11.37%,12.75%,11.03%,9.50%,6.88%,5.27%,36.41%,-3.91%,-8.00%,-8.22%,-28.09%,-6.36%,-5.24%,-7.39%,-13.89%,-6.06%,-7.94%,-5.96%,16.62%,-7.35%,-1.19%,0.45%,1.25%,7.25%,7.58%,9.36%,-4.81%,Upgrade
Gross Profit,146.5,151.23,157.59,166.33,148.57,137.83,129.66,146.28,130.95,124.44,123.87,163.02,147,141.57,138.44,157,137.64,127.12,122.79,141.4,125.7,118.93,116.64,103.66,130.81,129.27,127.08,144.14,139.7,136.41,137.22,167.4,148.7,148.18,145.93,143.54,160.49,149.96,145.27,141.76,Upgrade
"Selling, General & Admin",66.44,71.19,72.85,74.61,74.23,74.99,73.35,77.41,77.88,75.29,71.61,96.71,90.56,78.45,81.78,78.63,76.96,64.94,67.78,75.28,64.85,62.77,66.21,46.63,71.24,63.46,62.95,66.56,71.58,63.44,67.57,71.41,75.64,71.68,73.32,56.72,77.3,71.99,75.24,55.51,Upgrade
Other Operating Expenses,59.61,68.62,85.82,57.44,56.46,42.04,30.27,5.64,28.86,26.09,25.66,32.25,55.22,52.97,41.29,28.53,48.94,40.36,30.59,16.63,40.46,32.82,27.71,11.23,39.98,35.87,32.01,24.37,35.44,37.56,26.23,13.48,38.29,36.16,30.89,18.57,41.12,38.19,28.7,20.91,Upgrade
Operating Expenses,126.05,139.81,158.67,132.05,130.69,117.03,103.62,83.05,106.73,101.38,97.27,128.96,145.78,131.42,123.07,107.16,125.91,105.29,98.37,91.91,105.31,95.59,93.92,57.86,111.22,99.33,94.96,90.93,107.02,100.99,93.8,84.89,113.93,107.84,104.22,75.29,118.41,110.18,103.94,76.43,Upgrade
Operating Income,20.45,11.42,-1.08,34.28,17.88,20.79,26.04,63.23,24.21,23.06,26.6,34.06,1.22,10.15,15.37,49.84,11.73,21.82,24.42,49.49,20.4,23.34,22.72,45.8,19.59,29.94,32.12,53.21,32.68,35.42,43.43,82.5,34.77,40.35,41.71,68.25,42.08,39.79,41.32,65.34,Upgrade
Interest Expense / Income,14.07,13.03,11.17,11.04,10.17,6.71,5.5,6.94,7.3,5.89,5.56,8.03,7.13,6.33,4.4,4.91,4.64,4.16,4.23,5.05,5,4.79,4.25,5.12,5.27,5.52,5.59,6.96,7.15,7.27,5.47,5.67,6.04,6.03,5.56,5.69,5.55,5.28,4.68,5,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.48,37.14,-3.49,-1.49,2.24,-1.86,-5.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,6.38,-1.61,-12.25,23.24,7.72,14.08,20.54,56.29,16.91,17.17,21.04,26.02,-5.91,3.82,10.97,44.92,7.09,18.14,-16.94,47.92,16.88,16.31,20.33,46.48,14.32,24.42,26.53,46.26,25.53,28.15,37.96,76.83,28.73,34.32,36.14,62.56,36.53,34.51,36.65,60.34,Upgrade
