Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,154.66,154.74,147.42,128.96,116.22,121.82,118.49,136.93,117.14,109.96,91.69,89.96,89.64,108.05,105.16,100.44,97.22,97.22,97.73,94.09,92.83,88.21,83.13,82.58,82.78,77.31,76.42,74.12,71.49,72.9,70.78,73.66,69.59,69.78,74.57,65.97,64.37,63.7,64.38,61.85,Upgrade
Revenue Growth (YoY),33.08%,27.03%,24.41%,-5.82%,-0.79%,10.78%,29.24%,52.22%,30.69%,1.77%,-12.81%,-10.43%,-7.80%,11.14%,7.60%,6.74%,4.73%,10.22%,17.56%,13.94%,12.14%,14.09%,8.78%,11.41%,15.79%,6.05%,7.97%,0.63%,2.73%,4.47%,-5.08%,11.65%,8.10%,9.54%,15.83%,6.67%,3.01%,3.33%,2.65%,1.41%,Upgrade
Gross Profit,154.66,154.74,147.42,128.96,116.22,121.82,118.49,136.93,117.14,109.96,91.69,89.96,89.64,108.05,105.16,100.44,97.22,97.22,97.73,94.09,92.83,88.21,83.13,82.58,82.78,77.31,76.42,74.12,71.49,72.9,70.78,73.66,69.59,69.78,74.57,65.97,64.37,63.7,64.38,61.85,Upgrade
"Selling, General & Admin",58.87,57.67,56.49,53.58,52.21,51.15,50.88,49.83,47.48,48.72,49.65,49.18,47.35,48.07,47.25,42.26,42.54,42.01,41.85,41.02,41.15,37.88,37.67,37.2,37.04,36.11,36.77,35.88,35.25,35.28,34.57,33.17,33.14,33.56,33.69,33.11,31.61,31.78,31.7,30.27,Upgrade
Other Operating Expenses,21.45,26.93,22.59,20.13,20.3,25.63,19.33,24.2,17.48,16.89,16.43,15.47,14.04,18.22,14.94,14.35,13.67,14.16,13.96,13.24,14.74,13.37,12.93,11.76,12.55,12.08,12.44,11.84,11.04,13.73,11.78,12.26,11.78,13.33,13.26,12.75,12.22,12.07,11.62,12.18,Upgrade
Operating Expenses,80.32,84.61,79.08,73.72,72.51,76.78,70.21,74.02,64.96,65.61,66.08,64.65,61.39,66.3,62.19,56.61,56.21,56.17,55.81,54.26,55.89,51.25,50.6,48.95,49.59,48.19,49.2,47.72,46.29,49.01,46.35,45.43,44.92,46.89,46.94,45.86,43.84,43.85,43.32,42.46,Upgrade
Operating Income,74.35,70.14,68.34,55.25,43.71,45.03,48.28,62.91,52.18,44.35,25.6,25.31,28.25,41.76,42.97,43.83,41.01,41.06,41.92,39.84,36.94,36.96,32.53,33.63,33.19,29.12,27.21,26.4,25.2,23.89,24.42,28.23,24.67,22.9,27.63,20.11,20.54,19.85,21.06,19.39,Upgrade
Pretax Income,74.35,70.14,68.34,55.25,43.71,45.03,48.28,62.91,52.18,44.35,25.6,25.31,28.25,41.76,42.97,43.83,41.01,41.06,41.92,39.84,36.94,36.96,32.53,33.63,33.19,29.12,27.21,26.4,25.2,23.89,24.42,28.23,24.67,22.9,27.63,20.11,20.54,19.85,21.06,19.39,Upgrade
Income Tax,16.81,13.01,12.99,10.54,7.79,6.87,9.53,14.72,9.66,8.99,4.71,4.58,5.64,6.25,9.6,9.66,9.18,8.33,9.04,9.25,7.32,17.46,10.82,10.45,11.14,10.5,9.23,8.91,8.62,8.16,8.79,9.68,8.41,7.15,8.83,5.43,5.88,5.99,6.56,6.8,Upgrade
Net Income,57.53,57.13,55.35,44.71,35.92,38.17,38.75,48.19,42.52,35.36,20.89,20.73,22.61,35.51,33.37,34.17,31.84,32.73,32.88,30.59,29.62,19.5,21.71,23.18,22.05,18.62,17.98,17.49,16.58,15.73,15.63,18.55,16.26,15.75,18.79,14.69,14.66,13.86,14.49,12.59,Upgrade
