Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.52,0.46,0.36,0.44,0.38,0.03,0.02
Operating Expenses,0.52,0.46,0.36,0.44,0.38,0.03,0.02
Operating Income,-0.52,-0.46,-0.36,-0.44,-0.38,-0.03,-0.02
Other Expense / Income,-3.84,-1.46,-9.2,-0.57,-6.86,-,-
Pretax Income,3.31,0.99,8.84,0.13,6.48,-0.03,-0.02
Net Income,3.31,0.99,8.84,0.13,6.48,-0.03,-0.02
Net Income Growth,-48.86%,-,-,-,-,-,-
Shares Outstanding (Basic),33,33,33,33,11,6,6
Shares Outstanding (Diluted),33,33,33,33,11,6,6
Shares Change,202.92%,427.55%,427.55%,-,-,-,-
EPS (Basic),0.10,0.03,0.27,-,0.59,-,-
EPS (Diluted),0.10,0.03,0.27,-,0.59,-,-
EPS Growth,-83.05%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.08,-,-
EBITDA,3.31,0.99,8.84,0.13,6.48,-0.03,-0.02
EBIT,3.31,0.99,8.84,0.13,6.48,-0.03,-0.02
