Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,39.88,44.77,43.82,38.94,39.66,34.66,32.08,31.38,29.04,32.34,25.61,23.92,20.05,21.77,20.21,20.18,19.23,19.48,17.98,13.33,12.4,10.73,11.08,10.67,10.49,10.48,9.59,9.54,9.31,8.96,9.01,9.28,7.69,7.11,6.89,7.25,6.62,6.77,6.67,6.27,Upgrade
Revenue Growth (YoY),0.55%,29.15%,36.61%,24.09%,36.60%,7.18%,25.26%,31.19%,44.83%,48.58%,26.75%,18.53%,4.26%,11.75%,12.36%,51.41%,55.08%,81.49%,62.29%,24.88%,18.25%,2.44%,15.51%,11.91%,12.67%,16.97%,6.47%,2.77%,21.07%,26.00%,30.75%,27.99%,16.14%,4.95%,3.24%,15.63%,13.85%,6.38%,-0.04%,-6.82%,Upgrade
Gross Profit,39.88,44.77,43.82,38.94,39.66,34.66,32.08,31.38,29.04,32.34,25.61,23.92,20.05,21.77,20.21,20.18,19.23,19.48,17.98,13.33,12.4,10.73,11.08,10.67,10.49,10.48,9.59,9.54,9.31,8.96,9.01,9.28,7.69,7.11,6.89,7.25,6.62,6.77,6.67,6.27,Upgrade
"Selling, General & Admin",16.53,12.9,16.87,15.8,15.68,11.4,13.02,12.55,12.26,10.28,12.9,10.63,11.12,9.82,11.03,10.65,10.54,10.36,9.05,6.89,6.83,5.77,5.78,5.58,5.67,5.54,5.3,5.1,5.13,5.14,4.77,4.81,4.4,3.63,3.6,3.9,3.55,3.65,3.71,3.71,Upgrade
Other Operating Expenses,8.64,12.41,6.93,8.11,9.14,22.89,6.51,6.91,5.3,10.56,5.27,4.78,4.46,6.35,3.66,4.15,3.76,3.55,6.23,3.21,4.35,2.3,2.18,1.98,2.13,2.22,1.86,1.82,1.85,1.77,1.8,1.84,2.24,2.34,1.33,1.17,1.19,1.35,1.04,0.9,Upgrade
Operating Expenses,25.17,25.31,23.8,23.92,24.83,34.29,19.52,19.46,17.56,20.84,18.17,15.4,15.58,16.17,14.68,14.8,14.3,13.91,15.27,10.1,11.18,8.06,7.96,7.56,7.8,7.76,7.17,6.92,6.98,6.91,6.57,6.64,6.64,5.97,4.93,5.07,4.74,5,4.75,4.61,Upgrade
Operating Income,14.71,19.46,20.03,15.02,14.84,0.37,12.56,11.92,11.48,11.5,7.44,8.52,4.47,5.59,5.52,5.38,4.93,5.57,2.71,3.23,1.22,2.67,3.12,3.11,2.68,2.71,2.43,2.62,2.33,2.05,2.44,2.64,1.05,1.14,1.96,2.18,1.88,1.78,1.93,1.66,Upgrade
Other Expense / Income,0.9,0.16,0.92,-,0.92,-0.22,0.5,-,-,0.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,13.81,19.3,19.11,15.02,13.92,0.59,12.06,11.92,11.48,10.92,7.44,8.52,4.47,5.59,5.52,5.38,4.93,5.57,2.71,3.23,1.22,2.67,3.12,3.11,2.68,2.71,2.43,2.62,2.33,2.05,2.44,2.64,1.05,1.14,1.96,2.18,1.88,1.78,1.93,1.66,Upgrade
Income Tax,2.59,3.58,3.63,2.77,2.57,-0.02,2.27,2.31,2.17,1.91,0.89,1.68,0.65,1.19,0.71,0.98,0.85,0.92,0.55,0.45,0.21,2.17,0.87,0.77,0.69,0.64,0.53,0.59,0.52,0.42,0.55,0.59,0.08,0.25,0.37,0.48,0.37,0.38,0.44,0.29,Upgrade
