Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,74.3,91.42,86.16,83.72,70.9,64.49,67.51,70.97,65.13,60.98,50.91,47,48.69,56.45,54.85,55.59,53.82,49.24,48.22,47.71,46.29,46.94,45.74,45.71,46.2,42.97,43.17,38.98,37.64,34.9,35.69,32.89,32.39,31.73,32.07,31.2,30.43,31.76,30.25,28.35,Upgrade
Revenue Growth (YoY),4.80%,41.77%,27.63%,17.97%,8.85%,5.75%,32.61%,51.00%,33.77%,8.03%,-7.18%,-15.45%,-9.54%,14.63%,13.75%,16.51%,16.28%,4.91%,5.41%,4.39%,0.19%,9.24%,5.95%,17.26%,22.73%,23.12%,20.97%,18.52%,16.23%,9.98%,11.30%,5.42%,6.43%,-0.09%,6.00%,10.06%,17.92%,19.95%,21.28%,15.03%,Upgrade
Gross Profit,74.3,91.42,86.16,83.72,70.9,64.49,67.51,70.97,65.13,60.98,50.91,47,48.69,56.45,54.85,55.59,53.82,49.24,48.22,47.71,46.29,46.94,45.74,45.71,46.2,42.97,43.17,38.98,37.64,34.9,35.69,32.89,32.39,31.73,32.07,31.2,30.43,31.76,30.25,28.35,Upgrade
"Selling, General & Admin",39.84,35.83,35.63,36.51,37.32,27.76,29.18,27.78,28.09,25.87,25.86,25.2,27.45,19.69,26.43,26.82,27.04,24.39,23.97,23.66,23.47,21.88,21.17,21.55,22.15,20.69,20.71,19.16,20.42,17.89,17.85,17.64,17.24,19.18,15.95,15.71,15.86,18.5,15.72,14.33,Upgrade
Other Operating Expenses,8.77,9.54,12.18,8.56,12.64,7.79,8.03,6.31,5.81,10.86,6.24,6.27,4.69,11.84,3.13,4.76,6.86,4.23,3.78,3.89,3.62,3.9,3.62,3.81,3.45,3.96,5.29,4.53,4.97,4.11,3.55,3.53,2.81,0.93,3.69,3.72,3.86,1.52,4.69,5.07,Upgrade
Operating Expenses,48.61,45.37,47.81,45.07,49.96,35.55,37.21,34.1,33.9,36.74,32.1,31.46,32.14,31.52,29.56,31.58,33.9,28.62,27.75,27.55,27.09,25.78,24.78,25.36,25.61,24.66,26.01,23.69,25.39,22.01,21.4,21.17,20.05,20.11,19.64,19.43,19.73,20.02,20.41,19.4,Upgrade
Operating Income,25.69,46.05,38.35,38.65,20.94,28.94,30.3,36.87,31.23,24.25,18.81,15.54,16.55,24.92,25.28,24.01,19.92,20.63,20.47,20.16,19.2,21.16,20.96,20.34,20.59,18.31,17.17,15.29,12.26,12.89,14.29,11.72,12.34,11.62,12.43,11.77,10.7,11.74,9.84,8.95,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,0.37,-,-,0.11,0.09,0.05,0.05,0.02,0.05,0.07,0.07,0,2.87,0.12,-,0.03,0.04,0.14,2.43,0.03,-0.01,0.07,0.05,0.1,0.02,0.69,-0,-0,Upgrade
Pretax Income,25.69,46.05,38.35,38.65,20.94,28.94,30.3,36.87,31.23,24.25,18.81,15.54,16.18,24.92,25.28,23.9,19.84,20.58,20.42,20.14,19.15,21.09,20.89,20.34,17.73,18.19,17.17,15.26,12.22,12.76,11.86,11.69,12.34,11.55,12.38,11.67,10.69,11.04,9.85,8.95,Upgrade
Income Tax,5.89,12.48,9.6,9.54,5.01,6.77,8.01,9.46,8.05,5.4,4.38,3.69,3.79,6.21,6.41,6.44,4.21,5.03,3.67,4.3,3.89,7.91,7.17,6.97,5.42,6.24,5.84,5.13,4.11,4.29,4.03,3.83,4.01,3.61,4.14,3.89,3.52,3.7,3.23,3.05,Upgrade
