Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.39,0.2,0.14,0.2,0.1,0,0
Operating Expenses,0.39,0.2,0.14,0.2,0.1,0,0
Operating Income,-0.39,-0.2,-0.14,-0.2,-0.1,0,-0
Other Expense / Income,-1.44,-0.76,-0.23,-0.11,0.06,-0,-
Pretax Income,1.04,0.56,0.09,-0.09,-0.15,0,-0
Income Tax,0.29,0.14,0.02,0,0,0,0
Net Income,0.75,0.41,0.07,-0.09,-0.15,0,-0
Net Income Growth,-,41346300.00%,-,-,-,-,-
Shares Outstanding (Basic),21,21,21,20,5,4,4
Shares Outstanding (Diluted),21,21,21,20,5,4,4
Shares Change,338.66%,400.00%,400.00%,-,-,-,-
EPS (Basic),0.04,0.02,-,-,-0.03,-,-
EPS (Diluted),0.04,0.02,-,-,-0.03,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.04,-,-,-
Effective Tax Rate,27.94%,25.72%,24.66%,-,-,-,-
EBITDA,1.04,0.56,0.09,-0.09,-0.15,0,-0
EBIT,1.04,0.56,0.09,-0.09,-0.15,0,-0
